Time,audit_cycle,strategy,fog_count,avg_reputation,avg_collateral,avg_profit,audit_type,audit_result
0,0,Aggressive,1000,7,3,0
0,0,Conservative,1000,7,3,0
0,0,Balanced,1000,7,3,0
0,0,Progressive,1000,7,3,0
0,0,Opportunistic,1000,7,3,0
0.007501997343585574,1,Conservative,1000,7.001,3.0,3.459992404375613e-05,False,True
0.020104850378247226,2,Conservative,1000,7.002,3.0,6.339118115214042e-05,False,True
0.020739743430099624,3,Opportunistic,1000,6.9975,3.0,-0.0011909464617168206,False,False
0.025862034578044518,3,Aggressive,1000,7.001,3.0,0.0002031919678542596,False,True
0.04871795286400378,4,Opportunistic,1000,6.995,3.0,-0.0021975681061473075,False,False
0.048836522559704845,5,Balanced,1000,6.9975,3.0,-0.0011439423340621527,False,False
0.06725326023753916,6,Progressive,1000,7.001,3.0,9.100567706902274e-05,False,True
0.07323361078512765,6,Opportunistic,1000,6.996,3.0,-0.002129826910698062,False,True
0.08890335283149528,7,Opportunistic,1000,6.9935,3.0,-0.0032841742632751655,False,False
0.13749695323366104,8,Conservative,1000,6.9995,3.0,-0.001022274698033137,False,False
0.17460347967049947,9,Progressive,1000,7.002,3.0,0.00026989470584502594,False,True
0.1990284382612723,10,Progressive,1000,7.003,3.0,0.0004421365767775802,False,True
0.27233049747275895,10,Aggressive,1000,7.002,3.0,0.00022403772775651354,False,True
0.3512570271645322,11,Progressive,1000,7.0005,3.0,-0.0006499869466991196,False,False
0.3713988410466584,12,Balanced,1000,6.995,3.0,-0.002199571987942364,False,False
0.37844908431694513,12,Opportunistic,1000,6.9945,3.0,-0.003142300666053904,False,True
0.3873873506865062,13,Progressive,1000,6.998,3.0,-0.0017518958244406963,False,False
0.41539620652614506,13,Progressive,1000,6.999,3.0,-0.0016528301058409847,False,True
0.43610977916719473,14,Conservative,1000,7.0005,3.0,-0.0009472644191005943,False,True
0.43815626921308004,15,Aggressive,1000,6.9995,3.0,-0.0007823336808781356,False,False
0.44920803919411323,15,Opportunistic,1000,6.9955,3.0,-0.0030690127835182337,False,True
0.48260953645614224,16,Aggressive,1000,7.0005,3.0,-0.0007538075095762618,False,True
0.538531942146669,17,Conservative,1000,7.0015,3.0,-0.0009284418278494738,False,True
0.5612432253254773,18,Balanced,1000,6.996,3.0,-0.002003769199321533,False,True
0.5766324541649304,19,Progressive,1000,7.0,3.0,-0.0015623777307930827,False,True
0.5821996258992153,19,Conservative,1000,7.0025,3.0,-0.0008755788317416343,False,True
0.5843491215438086,20,Balanced,1000,6.997,3.0,-0.001969929746131664,False,True
0.611312368557839,20,Balanced,1000,6.998,3.0,-0.0017860261014360716,False,True
0.6870920295167604,21,Balanced,1000,6.999,3.0,-0.0016377256361561159,False,True
0.7250831964475458,22,Progressive,1000,7.001,3.0,-0.0015245535312419145,False,True
0.7322395652875735,23,Conservative,1000,7.0,3.0,-0.001983399177350517,False,False
0.7941247726290683,23,Opportunistic,1000,6.9965,3.0,-0.003021003626357683,False,True
0.8066977757824172,24,Aggressive,1000,6.998,3.0,-0.001757512292479153,False,False
0.8529079296112686,25,Conservative,1000,7.001,3.0,-0.00196940812981617,False,True
0.9586248138424394,26,Opportunistic,1000,6.994,3.0,-0.004119718355617757,False,False
0.9694550021302983,26,Aggressive,1000,6.999,3.0,-0.0015882498446254398,False,True
0.987438784397429,27,Aggressive,1000,6.9965,3.0,-0.002623872272425813,False,False
0.9940467479105988,28,Conservative,1000,7.002,3.0,-0.0019493409424914026,False,True
1.0108006433085217,29,Opportunistic,1000,6.9915,3.0,-0.005121999921993589,False,False
1.0210367989533606,29,Opportunistic,1000,6.9925,3.0,-0.005032662505467893,False,True
1.0260912228237251,30,Progressive,1000,7.002,3.0,-0.0013505910490979602,False,True
1.047519791516606,31,Opportunistic,1000,6.9935,3.0,-0.004968243315925413,False,True
1.0551197504103211,32,Aggressive,1000,6.994,3.0,-0.0036288274238018064,False,False
1.0581049443930424,33,Balanced,1000,7.0,3.0,-0.0014981087673124757,False,True
1.0663310038602953,34,Progressive,1000,6.9995,3.0,-0.0025596972152968985,False,False
1.0867901349064981,35,Opportunistic,1000,6.9945,3.0,-0.004926136294474241,False,True
