,x,y
0,0.0,0.0
1,0.001,0.0021954139329231235
2,0.002,0.004017906675056909
3,0.003,0.005772225549544053
4,0.004,0.007493417797470073
5,0.005,0.009194464846205798
6,0.006,0.01088154490241421
7,0.007,0.0125579839282194
8,0.008,0.014225698196631815
9,0.009000000000000001,0.015885830904299517
10,0.01,0.017539069969901233
11,0.011,0.019185821148006245
12,0.012,0.020826308675883948
13,0.013000000000000001,0.02246063681153706
14,0.014,0.02408882899254154
15,0.015,0.0257108535699223
16,0.016,0.027326641169843017
17,0.017,0.02893609666209593
18,0.018000000000000002,0.030539107557805197
19,0.019,0.03213554998692865
20,0.02,0.03372529300203212
21,0.021,0.03530820170423048
22,0.022,0.03688413952766746
23,0.023,0.03845296991490472
24,0.024,0.040014557546391244
25,0.025,0.04156876924026529
26,0.026000000000000002,0.04311547460638895
27,0.027,0.04465454651587712
28,0.028,0.046185861431314965
29,0.029,0.04770929963132333
30,0.03,0.0492247453547454
31,0.031,0.05073208688356972
32,0.032,0.05223121657915436
33,0.033,0.05372203088290287
34,0.034,0.05520443028996699
35,0.035,0.05667831930263086
36,0.036000000000000004,0.058143606368505976
37,0.037,0.05960020380755584
38,0.038,0.06104802773106808
39,0.039,0.062486997955013765
40,0.04,0.0639170379096964
41,0.041,0.06533807454717344
42,0.042,0.0667500382476084
43,0.043000000000000003,0.06815286272545103
44,0.044,0.06954648493613119
45,0.045,0.07093084498381064
46,0.046,0.07230588603057966
47,0.047,0.07367155420740389
48,0.048,0.07502779852704566
49,0.049,0.07637457079910737
50,0.05,0.0777118255473067
51,0.051000000000000004,0.07903951992904071
52,0.052000000000000005,0.08035761365728049
53,0.053,0.0816660689247977
54,0.054,0.08296485033070657
55,0.055,0.08425392480930755
56,0.056,0.0855332615611818
57,0.057,0.08680283198649509
58,0.058,0.08806260962045406
59,0.059000000000000004,0.0893125700708651
60,0.06,0.09055269095771946
61,0.061,0.09178295185476015
62,0.062,0.09300333423295248
63,0.063,0.09421382140579505
64,0.064,0.09541439847641714
65,0.065,0.09660505228639472
66,0.066,0.09778577136620721
67,0.067,0.09895654588730622
68,0.068,0.10011736761570918
69,0.069,0.10126822986706614
70,0.07,0.10240912746316287
71,0.07100000000000001,0.1035400566897736
72,0.07200000000000001,0.10466101525584721
73,0.073,0.10577200225394638
74,0.074,0.10687301812191098
75,0.075,0.10796406460569469
76,0.076,0.10904514472331721
77,0.077,0.11011626272992414
78,0.078,0.11117742408386176
79,0.079,0.11222863541378225
80,0.08,0.11326990448670049
81,0.081,0.11430124017698498
82,0.082,0.11532265243625173
83,0.083,0.11633415226411499
84,0.084,0.11733575167977107
85,0.085,0.11832746369438897
86,0.08600000000000001,0.1193093022842682
87,0.08700000000000001,0.1202812823647464
88,0.088,0.12124341976482163
89,0.089,0.12219573120247437
90,0.09,0.12313823426064743
91,0.091,0.12407094736388954
92,0.092,0.12499388975560097
93,0.093,0.1259070814758993
94,0.094,0.12681054334005726
95,0.095,0.12770429691750115
96,0.096,0.12858836451136757
97,0.097,0.12946276913856114
98,0.098,0.13032753451033788
99,0.099,0.13118268501337735
100,0.1,0.1320282456913269
101,0.101,0.1328642422268019
102,0.10200000000000001,0.13369070092384536
103,0.10300000000000001,0.13450764869080037
104,0.10400000000000001,0.1353151130236141
105,0.105,0.13611312198954265
106,0.106,0.13690170421124542
107,0.107,0.13768088885126845
108,0.108,0.13845070559687386
109,0.109,0.1392111846452686
110,0.11,0.13996235668913318
111,0.111,0.14070425290251512
112,0.112,0.14143690492704844
113,0.113,0.1421603448584788
114,0.114,0.14287460523350434
115,0.115,0.14357971901691485
116,0.116,0.14427571958902133
117,0.117,0.14496264073337217
118,0.11800000000000001,0.1456405166247318
119,0.11900000000000001,0.14630938181733927
120,0.12,0.14696927123342515
121,0.121,0.14762022015197523
122,0.122,0.14826226419773794
123,0.123,0.14889543933048593
124,0.124,0.1495197818344926
125,0.125,0.15013532830825146
126,0.126,0.1507421156543968
127,0.127,0.1513401810698604
128,0.128,0.15192956203622313
129,0.129,0.15251029631028076
130,0.13,0.15308242191479288
131,0.131,0.15364597712945133
132,0.132,0.15420100048201216
133,0.133,0.15474753073962294
134,0.134,0.15528560690033288
135,0.135,0.1558152681847742
136,0.136,0.15633655402801544
137,0.137,0.15684950407158416
138,0.138,0.15735415815563777
139,0.139,0.15785055631132197
140,0.14,0.1583387387532595
141,0.14100000000000001,0.158818745872204
142,0.14200000000000002,0.15929061822783297
143,0.14300000000000002,0.15975439654169335
144,0.14400000000000002,0.16021012169028345
145,0.145,0.16065783469827644
146,0.146,0.1610975767318765
147,0.147,0.16152938909230988
148,0.148,0.1619533132094409
149,0.149,0.16236939063551942
150,0.15,0.1627776630390444
151,0.151,0.16317817219875425
152,0.152,0.16357095999773857
153,0.153,0.16395606841765537
154,0.154,0.16433353953306554
155,0.155,0.164703415505886
156,0.156,0.16506573857993784
157,0.157,0.1654205510756093
158,0.158,0.16576789538462056
159,0.159,0.1661078139648928
160,0.16,0.1664403493355054
161,0.161,0.1667655440717675
162,0.162,0.1670834408003777
163,0.163,0.16739408219466975
164,0.164,0.16769751096996333
165,0.165,0.16799376987899198
166,0.166,0.16828290170743082
167,0.167,0.16856494926950527
168,0.168,0.16883995540367777
169,0.169,0.16910796296843383
170,0.17,0.16936901483812777
171,0.171,0.1696231538989332
172,0.17200000000000001,0.16987042304484629
173,0.17300000000000001,0.17011086517379287
174,0.17400000000000002,0.17034452318377571
175,0.17500000000000002,0.17057143996913765
176,0.176,0.17079165841685923
177,0.177,0.17100522140295277
178,0.178,0.17121217178891837
179,0.179,0.1714125524182577
180,0.18,0.17160640611307498
181,0.181,0.17179377567072726
182,0.182,0.17197470386055075
183,0.183,0.1721492334206396
184,0.184,0.17231740705470122
185,0.185,0.1724792674289543
186,0.186,0.17263485716911162
187,0.187,0.17278421885739853
188,0.188,0.172927395029632
189,0.189,0.17306442817238935
190,0.19,0.17319536072018166
191,0.191,0.1733202350527187
192,0.192,0.17343909349221698
193,0.193,0.17355197830076502
194,0.194,0.17365893167772792
195,0.195,0.17375999575722384
196,0.196,0.17385521260563122
197,0.197,0.17394462421915358
198,0.198,0.17402827252144568
199,0.199,0.17410619936126015
200,0.2,0.17417844651016437
201,0.201,0.17424505566029427
202,0.202,0.1743060684221645
203,0.203,0.17436152632249372
204,0.20400000000000001,0.17441147080211294
205,0.20500000000000002,0.1744559432138929
206,0.20600000000000002,0.17449498482071676
207,0.20700000000000002,0.17452863679350156
208,0.20800000000000002,0.17455694020925647
209,0.209,0.1745799360491808
210,0.21,0.17459766519680175
211,0.211,0.17461016843615848
212,0.212,0.17461748645001318
213,0.213,0.17461965981811065
214,0.214,0.17461672901546896
215,0.215,0.17460873441070346
216,0.216,0.17459571626440204
217,0.217,0.17457771472751946
218,0.218,0.1745547698398167
219,0.219,0.17452692152832436
220,0.22,0.17449420960585388
221,0.221,0.17445667376953722
222,0.222,0.1744143535993879
223,0.223,0.17436728855691275
224,0.224,0.17431551798374043
225,0.225,0.17425908110029492
226,0.226,0.1741980170044822
227,0.227,0.17413236467042434
228,0.228,0.17406216294722282
229,0.229,0.17398745055772835
230,0.23,0.17390826609736945
231,0.231,0.17382464803299402
232,0.232,0.1737366347017452
233,0.233,0.17364426430994495
234,0.234,0.17354757493204317
235,0.23500000000000001,0.17344660450956076
236,0.23600000000000002,0.17334139085006628
237,0.23700000000000002,0.17323197162619355
238,0.23800000000000002,0.1731183843746618
239,0.23900000000000002,0.17300066649534168
240,0.24,0.17287885525033228
241,0.241,0.17275298776307182
242,0.242,0.17262310101746398
243,0.243,0.17248923185704215
244,0.244,0.17235141698412795
245,0.245,0.17220969295905728
246,0.246,0.17206409619937826
247,0.247,0.17191466297912192
248,0.248,0.17176142942805186
249,0.249,0.17160443153095897
250,0.25,0.17144370512698082
251,0.251,0.17127928590891925
252,0.252,0.17111120942260588
253,0.253,0.17093951106626853
254,0.254,0.17076422608992672
255,0.255,0.17058538959480624
256,0.256,0.17040303653276564
257,0.257,0.17021720170575988
258,0.258,0.1700279197652986
259,0.259,0.16983522521194466
260,0.26,0.1696391523948185
261,0.261,0.16943973551111988
262,0.262,0.16923700860568638
263,0.263,0.16903100557053452
264,0.264,0.1688217601444606
265,0.265,0.16860930591261467
266,0.266,0.16839367630612975
267,0.267,0.16817490460174866
268,0.268,0.1679530239214588
269,0.269,0.16772806723216932
270,0.27,0.16750006734537773
271,0.271,0.167269056916864
272,0.272,0.16703506844640978
273,0.273,0.16679813427750528
274,0.274,0.16655828659710173
275,0.275,0.16631555743536217
276,0.276,0.16606997866542086
277,0.277,0.16582158200318128
278,0.278,0.16557039900709253
279,0.279,0.1653164610779749
280,0.28,0.16505979945884175
281,0.281,0.16480044523472848
282,0.28200000000000003,0.1645384293325497
283,0.28300000000000003,0.16427378252096372
284,0.28400000000000003,0.16400653541024288
285,0.28500000000000003,0.16373671845216844
286,0.28600000000000003,0.1634643619399289
287,0.28700000000000003,0.16318949600803562
288,0.28800000000000003,0.16291215063224562
289,0.289,0.16263235562950534
290,0.29,0.16235014065789305
291,0.291,0.16206553521658598
292,0.292,0.16177856864582815
293,0.293,0.16148927012691983
294,0.294,0.16119766868220378
295,0.295,0.16090379317508097
