Time,strategy,avg_reputation
0.0,Aggressive,7.0
0.0,Progressive,7.0
0.0,Conservative,7.0
0.0,Opportunistic,7.0
0.0,Balanced,7.0
1.0,Aggressive,6.8302
1.0,Conservative,7.056300000000001
1.0,Progressive,6.948999999999999
1.0,Opportunistic,6.9127
1.0,Balanced,6.943699999999999
2.0,Conservative,7.1101
2.0,Opportunistic,6.8368
2.0,Progressive,6.8883
2.0,Aggressive,6.686738383838385
2.0,Balanced,6.8792
3.0,Aggressive,6.531630303030304
3.0,Conservative,7.1568
3.0,Progressive,6.831348484848485
3.0,Balanced,6.836886868686868
3.0,Opportunistic,6.740799999999999
4.0,Opportunistic,6.653506060606062
4.0,Conservative,7.197100000000001
4.0,Aggressive,6.395298989898991
4.0,Balanced,6.774976767676767
4.0,Progressive,6.76790101010101
5.0,Progressive,6.711368501339929
5.0,Conservative,7.2515
5.0,Aggressive,6.23490101010101
5.0,Balanced,6.715731313131313
5.0,Opportunistic,6.571278787878789
6.0,Opportunistic,6.481890909090908
6.0,Balanced,6.661386868686869
6.0,Progressive,6.658716017316018
6.0,Aggressive,6.106760214388787
6.0,Conservative,7.295457575757577
7.0,Conservative,7.349885858585859
7.0,Progressive,6.586913069470213
7.0,Balanced,6.619334540864142
7.0,Aggressive,5.960577750362876
7.0,Opportunistic,6.406944444444443
8.0,Conservative,7.403571717171717
8.0,Progressive,6.545368006596577
8.0,Balanced,6.568636158555893
8.0,Aggressive,5.834919099841305
8.0,Opportunistic,6.331741414141415
9.0,Balanced,6.516816120600067
9.0,Aggressive,5.716384492926379
9.0,Opportunistic,6.264251515151516
9.0,Conservative,7.469060606060606
9.0,Progressive,6.501065160334674
10.0,Balanced,6.472553865607474
10.0,Conservative,7.519485858585858
10.0,Progressive,6.445091040002379
10.0,Aggressive,5.588831737380027
10.0,Opportunistic,6.218404081632653
11.0,Opportunistic,6.153706399998302
11.0,Balanced,6.423330067240893
11.0,Progressive,6.39608527378774
11.0,Aggressive,5.495210670156435
11.0,Conservative,7.562309090909091
12.0,Aggressive,5.390448180501023
12.0,Progressive,6.3599597007844055
12.0,Conservative,7.610269696969697
12.0,Opportunistic,6.095602328354023
12.0,Balanced,6.3640145125639345
13.0,Conservative,7.659924242424243
13.0,Progressive,6.311583327181478
13.0,Balanced,6.312421559503872
13.0,Opportunistic,6.027930983435235
13.0,Aggressive,5.299684763881145
14.0,Conservative,7.704294949494949
14.0,Progressive,6.256914274597606
14.0,Balanced,6.272554628308845
14.0,Aggressive,5.208985840042146
14.0,Opportunistic,5.9642653342280365
15.0,Conservative,7.736118181818181
15.0,Balanced,6.231354551904206
15.0,Aggressive,5.10708494897301
15.0,Opportunistic,5.913856392042833
15.0,Progressive,6.204417814513164
16.0,Aggressive,5.031991764470557
16.0,Conservative,7.778980808080808
16.0,Progressive,6.167579257254894
16.0,Balanced,6.176319837722499
16.0,Opportunistic,5.859306838373884
17.0,Progressive,6.124594590486198
17.0,Aggressive,4.960032201684127
17.0,Opportunistic,5.8182826421291
17.0,Balanced,6.147425790969518
17.0,Conservative,7.814542424242424
18.0,Progressive,6.090961944788449
18.0,Opportunistic,5.76323031809955
18.0,Aggressive,4.904697859918931
18.0,Balanced,6.106640830697735
18.0,Conservative,7.85069191919192
19.0,Conservative,7.889975757575758
19.0,Aggressive,4.833050327058648
19.0,Progressive,6.048650429396847
19.0,Opportunistic,5.713781754236916
19.0,Balanced,6.091636956934917
20.0,Conservative,7.928519191919191
20.0,Aggressive,4.767847736736723
20.0,Opportunistic,5.674890053346192
20.0,Progressive,6.017065151132783
20.0,Balanced,6.058847691509657
21.0,Aggressive,4.706873992565284
21.0,Opportunistic,5.633463863207969
21.0,Balanced,6.0262234545779165
21.0,Progressive,5.9770748942712055
21.0,Conservative,7.976141414141416
22.0,Conservative,8.008892929292928
22.0,Progressive,5.950815854523078
22.0,Opportunistic,5.612085562831724
22.0,Aggressive,4.63324024525646
22.0,Balanced,5.991835491889608
23.0,Balanced,5.972067466339073
23.0,Conservative,8.036990991548134
23.0,Opportunistic,5.57889971497492
23.0,Progressive,5.929102518082045
23.0,Aggressive,4.578432001089499
24.0,Aggressive,4.5388214010133865
24.0,Conservative,8.065744939187796
24.0,Balanced,5.931956681434213
