Time,strategy,fog_count,avg_reputation,avg_profit,avg_honesty
0,Aggressive,1000,7,0,nan
0,Conservative,1000,7,0,nan
0,Balanced,1000,7,0,nan
0,Cyclic,1000,7,0,nan
0,Opportunistic,1000,7,0,nan
0.006452898177134768,Cyclic,1000,6.997,-0.0010228879805335228,0.1644403142840149
0.007138286493548099,Balanced,1000,7.001,6.029541216049061e-05,0.5085014868362324
0.017122328029992143,Conservative,1000,6.997,-0.0010920084718825701,0.8345661395402262
0.020578917614296068,Opportunistic,1000,6.997,-0.001028891339530543,0.42040796864940116
0.0321215771373711,Cyclic,1000,6.994,-0.002043056177469504,0.16429417255084308
0.03215904122521712,Cyclic,1000,6.991,-0.0030659261051223085,0.16427805664581652
0.03582201906778241,Cyclic,1000,6.988,-0.004068819360861434,0.16424545815344213
0.03974258639226654,Cyclic,1000,6.985,-0.0050802716991090405,0.16436726967659882
0.044715865246528604,Conservative,1000,6.998,-0.0010385323833905806,0.8344759157770049
0.05564451361481125,Cyclic,1000,6.986,-0.005003567648469673,0.1644200312332058
0.06748364803491848,Aggressive,1000,6.997,-0.0010117682236271,0.1655070520196578
0.0678431097470119,Cyclic,1000,6.983,-0.0060300885847104765,0.1640821464196268
0.07572400401536118,Opportunistic,1000,6.994,-0.002065372525037932,0.42073798646150895
0.0763123717762004,Cyclic,1000,6.98,-0.007031398166103689,0.16396491426546048
0.0802336402023333,Conservative,1000,6.999,-0.0009899525881437593,0.8343635932071909
0.09513881197447015,Cyclic,1000,6.977,-0.008047674430305069,0.16397783032595778
0.10195678046205031,Opportunistic,1000,6.991,-0.003114148767033098,0.4209612310560767
0.10306539630022114,Balanced,1000,6.998,-0.0009895548756813177,0.5083128999976826
0.10513648351407287,Aggressive,1000,6.994,-0.002022218192802069,0.16562197667782824
0.10881447904169216,Aggressive,1000,6.991,-0.0030312349498802867,0.1655800260020958
0.11549638792609704,Cyclic,1000,6.974,-0.009058048319707091,0.16391627837671133
0.14116820836681593,Opportunistic,1000,6.988,-0.004146537793923118,0.42118088727355973
0.1450880744153631,Balanced,1000,6.999,-0.0009056821663914781,0.5082865495046809
0.1459348916053782,Balanced,1000,6.996,-0.0019653905589336355,0.5084307184660897
0.15175355741288465,Cyclic,1000,6.971,-0.010064033651222557,0.16399568849404517
0.1538622547018643,Conservative,1000,7.0,-0.0009483350452071271,0.8343907874975196
0.17695029183809657,Opportunistic,1000,6.985,-0.005174116455842023,0.421472644880055
0.19250533805412232,Cyclic,1000,6.968,-0.01108053200667117,0.16400906814819402
0.19403054501831798,Conservative,1000,7.001,-0.0009107603671434372,0.8342520268573085
0.1955875376501175,Opportunistic,1000,6.982,-0.006215802422033382,0.4219344817762052
0.19823805603979444,Opportunistic,1000,6.983,-0.006116053648550032,0.42229270178855816
0.2145063348892617,Balanced,1000,6.993,-0.003004314597786074,0.5083861199909561
0.2255737646015384,Opportunistic,1000,6.984,-0.006038539639408584,0.4224049574119557
0.22734672133547582,Opportunistic,1000,6.981,-0.007084267001596792,0.42210511103785747
0.22828699863626048,Conservative,1000,6.998,-0.0019876684316432387,0.8339456985515984
0.23527624765754768,Aggressive,1000,6.988,-0.0040393968029226795,0.16561041517356664
0.23890060592740106,Aggressive,1000,6.985,-0.005058424364368583,0.16561936364314142
0.2392135996730583,Cyclic,1000,6.965,-0.012104304403275345,0.1639504792382223
0.24094017352741753,Opportunistic,1000,6.982,-0.007012259329126086,0.422319460502256
0.24144331036570285,Aggressive,1000,6.982,-0.006071696774434407,0.16569211108491186
0.2423023954460971,Cyclic,1000,6.962,-0.013127194837506764,0.16401267431329966
0.2448317304969698,Cyclic,1000,6.959,-0.014144633475362881,0.16382995303726833
0.2540912079979574,Opportunistic,1000,6.979,-0.00807080468077968,0.42199066649447625
0.2640086857202812,Opportunistic,1000,6.976,-0.009137424390530438,0.42198718714511857
0.2687757752987554,Balanced,1000,6.994,-0.002912180907124949,0.5083442507300833
0.27179668541506313,Opportunistic,1000,6.977,-0.009048446848930919,0.42203282352519544
0.27915742911782304,Balanced,1000,6.995,-0.002814974965927684,0.5083654940353924
0.2818260112347254,Opportunistic,1000,6.974,-0.01008514114633603,0.42201529864869497
0.2864441201940915,Opportunistic,1000,6.971,-0.011118014700461388,0.4223349784830751
0.28698443624414977,Cyclic,1000,6.956,-0.01516536436901951,0.16372532465745596
0.30823947668046625,Balanced,1000,6.996,-0.002741429381364047,0.5084617262310445
0.3548153144256177,Balanced,1000,6.993,-0.0037738668002668414,0.5083220162187707
0.3745274126341258,Cyclic,1000,6.953,-0.016189676083196998,0.1636464870262545
0.38246042904410316,Aggressive,1000,6.979,-0.007086474069264806,0.1656746408669777
0.38642550783587665,Aggressive,999,6.981981981981982,-0.006079280940139121,0.16587525408125184
0.3915541420271989,Conservative,1000,6.999,-0.0019435779756588909,0.8341293299523115
0.40899015196475746,Aggressive,999,6.978978978978979,-0.0070944671643375715,0.16587525408125184
0.4112671358511747,Aggressive,999,6.975975975975976,-0.008112874450867343,0.16580938574899612
0.4157379894675575,Opportunistic,1000,6.968,-0.012169005578530344,0.42255811350305655
0.43590392544164375,Opportunistic,1000,6.965,-0.013196755192250118,0.4227781308717852
0.4376751418190204,Aggressive,999,6.972972972972973,-0.009115925966527157,0.1657868960632637
0.4416448318430277,Opportunistic,1000,6.962,-0.014241984636528739,0.4232899368196929
0.4480669509648682,Balanced,1000,6.99,-0.0048224913939866046,0.508470731298063
0.4519978942477125,Aggressive,999,6.96996996996997,-0.010121915922291254,0.16612651486087646
0.45487040044931815,Balanced,1000,6.987,-0.005877810847547629,0.5083907721917275
0.4638327081747555,Opportunistic,1000,6.959,-0.015301962584049492,0.42346436980516367
0.46716119763253844,Opportunistic,1000,6.956,-0.016339526458346226,0.423441571334143
0.4809319393949958,Balanced,1000,6.984,-0.006940332180774725,0.5083222369244246
0.4980257711032396,Opportunistic,1000,6.957,-0.016243467878551666,0.4237937969398712
