Time,strategy,avg_profit
0.0,Aggressive,0.0
0.0,Opportunistic,0.0
0.0,Balanced,0.0
0.0,Cyclic,0.0
0.0,Conservative,0.0
0.05,Conservative,-0.00019748928597882552
0.05,Opportunistic,-0.000785058891082248
0.05,Aggressive,-0.0010613052763761984
0.05,Balanced,-0.00039053031520838467
0.05,Cyclic,-0.0005097563141494677
0.1,Opportunistic,-0.0013673785912619427
0.1,Cyclic,-0.0011210013724971234
0.1,Aggressive,-0.0017540863637061596
0.1,Balanced,-0.0007940566575812226
0.1,Conservative,-0.0005264470911086189
0.15,Conservative,-0.0006797061938430718
0.15,Aggressive,-0.0025176539904349276
0.15,Opportunistic,-0.002225487281600113
0.15,Balanced,-0.0011902500614973646
0.15,Cyclic,-0.0015868067206373335
0.2,Balanced,-0.002024368607223336
0.2,Cyclic,-0.002106930458527615
0.2,Opportunistic,-0.003014190320170352
0.2,Aggressive,-0.003524004176194262
0.2,Conservative,-0.0009438417712536777
0.25,Balanced,-0.002556727526897132
0.25,Cyclic,-0.002619984856912872
0.25,Opportunistic,-0.0034868214473013203
0.25,Conservative,-0.001015511520283995
0.25,Aggressive,-0.004482290775520317
0.3,Cyclic,-0.0030323506990428987
0.3,Balanced,-0.0031552634341946357
0.3,Conservative,-0.0013724714354074424
0.3,Aggressive,-0.005589578806076765
0.3,Opportunistic,-0.00413061768997137
0.35,Cyclic,-0.0034325541643690956
0.35,Balanced,-0.003834875292128934
0.35,Aggressive,-0.006615209885242221
0.35,Conservative,-0.0014609021034591462
0.35,Opportunistic,-0.004993413634006668
0.4,Opportunistic,-0.005696502329602784
0.4,Cyclic,-0.003878849033059284
0.4,Aggressive,-0.0074629065366988425
0.4,Conservative,-0.001637111216815118
0.4,Balanced,-0.004773376774651166
0.45,Conservative,-0.00177709992337268
0.45,Balanced,-0.005311955785833342
0.45,Aggressive,-0.008080090184481066
0.45,Opportunistic,-0.006535286521062943
0.45,Cyclic,-0.004307435380132849
0.5,Aggressive,-0.00915719609204426
0.5,Balanced,-0.005903929351345521
0.5,Opportunistic,-0.007265580733500095
0.5,Conservative,-0.002038227068314482
0.5,Cyclic,-0.004700421532289362
0.55,Conservative,-0.00227786073231707
0.55,Balanced,-0.00653219133445659
0.55,Opportunistic,-0.007741787513665229
0.55,Aggressive,-0.0103286599136584
0.55,Cyclic,-0.005289020506999723
0.6,Cyclic,-0.00572043328205326
0.6,Conservative,-0.0026491541826855697
0.6,Balanced,-0.007087882044583692
0.6,Opportunistic,-0.008548973097839392
0.6,Aggressive,-0.01143574385175334
0.65,Balanced,-0.007782877934172533
0.65,Conservative,-0.00289445194627711
0.65,Cyclic,-0.006147261686737714
0.65,Opportunistic,-0.009123971181193888
0.65,Aggressive,-0.012340674403394005
0.7,Aggressive,-0.01302350725946769
0.7,Balanced,-0.008420079114494855
0.7,Conservative,-0.0032013862276706177
0.7,Opportunistic,-0.009968608933903474
0.7,Cyclic,-0.0066824229171604495
0.75,Aggressive,-0.014164050544196869
0.75,Cyclic,-0.007174156514644998
0.75,Balanced,-0.009047430726152432
0.75,Opportunistic,-0.01064864794811153
0.75,Conservative,-0.0034264170114794517
0.8,Cyclic,-0.007648922539958482
0.8,Balanced,-0.009664643446979544
0.8,Conservative,-0.0036490385474312183
0.8,Opportunistic,-0.011477731533444793
0.8,Aggressive,-0.015211328142395706
0.85,Opportunistic,-0.012182316791338656
0.85,Balanced,-0.01046780995192848
0.85,Conservative,-0.0038563472504259183
0.85,Aggressive,-0.01609443555487635
0.85,Cyclic,-0.00814926696275923
0.9,Conservative,-0.003991580912975268
0.9,Opportunistic,-0.013253394950003225
0.9,Balanced,-0.010958744214338751
0.9,Aggressive,-0.01721942049372567
0.9,Cyclic,-0.008530682117676613
0.95,Opportunistic,-0.01391340814156507
0.95,Balanced,-0.011254770524025954
0.95,Aggressive,-0.018159119232961
0.95,Conservative,-0.004204375247197212
0.95,Cyclic,-0.009207404422191274
1.0,Cyclic,-0.009757469981815618
1.0,Aggressive,-0.019086240140458767
1.0,Opportunistic,-0.014735752583912775
1.0,Conservative,-0.00431855504933435
1.0,Balanced,-0.011820428400656216
1.05,Opportunistic,-0.01533741782924316
1.05,Conservative,-0.004575522497963587
1.05,Aggressive,-0.019925841443476054
1.05,Balanced,-0.012656364769379834
1.05,Cyclic,-0.010188052765616861
1.1,Conservative,-0.004971797803078873
1.1,Balanced,-0.01321062211612958
1.1,Cyclic,-0.01074227541526618
1.1,Opportunistic,-0.015984905633318017
1.1,Aggressive,-0.02077967720722694
1.15,Aggressive,-0.0216466033358899
1.15,Conservative,-0.005116306913252948
1.15,Balanced,-0.01386978604015657
1.15,Opportunistic,-0.016817983129919604
1.15,Cyclic,-0.011278668999485908
1.2,Cyclic,-0.011644826374540802
1.2,Conservative,-0.005262669362842738
1.2,Opportunistic,-0.01732012602536069
1.2,Aggressive,-0.02236926292614764
1.2,Balanced,-0.014251050758981112
1.25,Balanced,-0.014760966329354287
1.25,Aggressive,-0.023233518447935822
1.25,Conservative,-0.00556309643963861
1.25,Opportunistic,-0.017978028616422573
1.25,Cyclic,-0.011983596144146817
1.3,Aggressive,-0.02398084682418317
1.3,Opportunistic,-0.018718540640444665
1.3,Balanced,-0.015335839023655724
1.3,Conservative,-0.005848849011215331
1.3,Cyclic,-0.012435008517564943
1.35,Opportunistic,-0.019359047147300947
1.35,Balanced,-0.01578469619689887
1.35,Aggressive,-0.025164702814724337
1.35,Cyclic,-0.012907030760912066
1.35,Conservative,-0.006144932162404741
1.4,Cyclic,-0.013188293202170236
1.4,Conservative,-0.006429826786537566
1.4,Aggressive,-0.02608460890727793
1.4,Balanced,-0.016274736395165773
1.4,Opportunistic,-0.020123745017680838
1.45,Cyclic,-0.013621629100420004
1.45,Aggressive,-0.027064147831459818
1.45,Balanced,-0.016824553493872713
1.45,Conservative,-0.0066061253478452405
1.45,Opportunistic,-0.020785415925442124
1.5,Opportunistic,-0.021296908354594978
1.5,Conservative,-0.006776654870168213
1.5,Aggressive,-0.02794503272088543
1.5,Cyclic,-0.014012533309569024
1.5,Balanced,-0.017284998375383307
1.55,Balanced,-0.0178121475258035
1.55,Conservative,-0.007060381761082182
1.55,Aggressive,-0.028674455385094628
1.55,Opportunistic,-0.021850048931163754
1.55,Cyclic,-0.014525635207344062
1.6,Aggressive,-0.029614281596097126
1.6,Balanced,-0.01848015496592805
1.6,Opportunistic,-0.022293044953421978
1.6,Conservative,-0.007298875226952558
1.6,Cyclic,-0.014871729497602858
1.65,Cyclic,-0.01542426889535601
1.65,Balanced,-0.019261331557418885
1.65,Aggressive,-0.030441159808067234
1.65,Opportunistic,-0.02274886242964077
1.65,Conservative,-0.0074900023917211685
1.7,Aggressive,-0.031552863623904095
1.7,Cyclic,-0.0159156558840114
1.7,Conservative,-0.007603366590066118
1.7,Opportunistic,-0.023356095942636615
1.7,Balanced,-0.019757698349924524
1.75,Opportunistic,-0.02403701597473047
1.75,Aggressive,-0.032519161293368994
1.75,Conservative,-0.007904439007219252
1.75,Cyclic,-0.01633943680142637
1.75,Balanced,-0.02017381704325951
1.8,Cyclic,-0.01683675491465358
1.8,Opportunistic,-0.02466715954031028
1.8,Balanced,-0.020643078765909588
1.8,Conservative,-0.008149389507721826
1.8,Aggressive,-0.03363109808715175
1.85,Balanced,-0.021065713469519562
1.85,Conservative,-0.00833044657495279
1.85,Opportunistic,-0.025467245216830456
1.85,Aggressive,-0.034490775852403795
1.85,Cyclic,-0.017600997037279624
1.9,Opportunistic,-0.026141450063597086
1.9,Aggressive,-0.035437788945372625
1.9,Balanced,-0.021654325366812208
1.9,Cyclic,-0.018183339017469678
1.9,Conservative,-0.00844172475745769
1.95,Aggressive,-0.03640714306085661
1.95,Cyclic,-0.01858440112518186
1.95,Conservative,-0.008625423228353071
1.95,Opportunistic,-0.026872002524340067
1.95,Balanced,-0.022098868517657588
2.0,Balanced,-0.022676801222472346
2.0,Aggressive,-0.037233481850844595
2.0,Cyclic,-0.01897024053978569
2.0,Conservative,-0.008829252915775616
