strategy,quartile,cycle_mean,cycle_sd
Aggressive,0.0,19160.68,1748.7208289489777
Aggressive,0.25,8041.24,240.51399626632957
Aggressive,0.5,5153.18,206.53887672784512
Aggressive,0.75,2933.86,150.5135223161029
Conservative,0.0,38408.62,896.3200073634416
Conservative,0.25,35305.22,891.1562666558542
Conservative,0.5,30987.78,898.1003571984593
Conservative,0.75,23791.66,1143.047603733108
Balanced,0.0,30603.92,1820.0067344930346
Balanced,0.25,14087.62,614.4353795152099
Balanced,0.5,9317.28,385.5032056935454
Balanced,0.75,5473.14,352.77363903783964
Progressive,0.0,37068.82,1361.6196192769844
Progressive,0.25,14859.46,706.0080512288795
Progressive,0.5,9683.74,379.27429704634613
Progressive,0.75,5630.64,383.71910351193094
Opportunistic,0.0,36460.96,1095.6362710315864
Opportunistic,0.25,22090.98,702.3563053037966
Opportunistic,0.5,15710.16,574.7245726432793
Opportunistic,0.75,9777.72,440.08258497695635
