Time,audit_cycle,strategy,fog_count,avg_reputation,avg_collateral,avg_profit,avg_honesty,audit_type,audit_result
0,0,Aggressive,1000,7,5,0,nan
0,0,Conservative,1000,7,5,0,nan
0,0,Balanced,1000,7,5,0,nan
0,0,Progressive,1000,7,5,0,nan
0,0,Opportunistic,1000,7,5,0,nan
0.05389260749779859,1,Balanced,1000,6.998,5.0,-0.0010812699483813,0.4995307832734269,False,False
0.1295838875269111,2,Balanced,1000,6.999,5.0,-0.0008951313296861657,0.49968843273653596,False,True
0.1389564039163172,3,Conservative,1000,7.001,5.0,8.212534328491128e-05,0.8588179835906262,False,True
0.17948714420367173,4,Progressive,1000,6.998,5.0,-0.0010196573632976242,0.14377540722386367,False,False
0.36094679553041825,5,Aggressive,1000,6.998,5.0,-0.0010358552187720398,0.14334449580346356,False,False
0.451312630944487,6,Opportunistic,1000,7.001,5.0,0.00011165528864096517,0.4131683220558475,False,True
0.4615066029690482,7,Opportunistic,1000,6.999,5.0,-0.0009416477001952157,0.41337869670427235,False,False
0.4775984198539024,8,Progressive,1000,6.999,5.0,-0.0007867255929412914,0.14382792204881797,False,True
0.5986836775398348,9,Progressive,1000,6.997,5.0,-0.0017938802781155604,0.14380115308840244,False,False
0.6189890253379423,10,Aggressive,1000,6.996,5.0,-0.0020377224225307587,0.14313531253168468,False,False
0.6889912967572055,11,Opportunistic,1000,7.0,5.0,-0.0008163948995653887,0.4133600374106436,False,True
0.693296445770275,12,Opportunistic,1000,7.001,5.0,-0.0006819819330649726,0.4133271545142185,False,True
0.8047807236591651,13,Aggressive,1000,6.994,5.0,-0.0030632481545115383,0.1431838999434044,False,False
0.9002204627373626,14,Balanced,1000,7.0,5.0,-0.0007952512843492144,0.4996062135716675,False,True
0.9629293772744573,15,Opportunistic,1000,6.999,5.0,-0.001701268665703116,0.41331402243009374,False,False
1.0767843972106865,16,Aggressive,1000,6.992,5.0,-0.00407670672457529,0.14325737571366642,False,False
1.302666311814086,17,Balanced,1000,7.001,5.0,-0.0006609232617741036,0.4994624846386256,False,True
1.3042201478668605,18,Opportunistic,1000,7.0,5.0,-0.0016500944847012153,0.4135548363423266,False,True
1.3188492025358718,19,Progressive,1000,6.995,5.0,-0.0028491197269277647,0.1438890480999738,False,False
1.3469175767812447,20,Progressive,1000,6.993,5.0,-0.003862635840754367,0.1439115639688316,False,False
1.3799207050039324,21,Conservative,1000,7.002,5.0,0.00016460777726757888,0.8587211615476767,False,True
1.385399382253396,22,Balanced,1000,7.002,5.0,-0.00047254329101199355,0.4993346772662903,False,True
1.5387690355021117,22,Progressive,1000,6.991,4.999,-0.0047164470475151545,0.14386187528383773,True,False
1.601629431072702,23,Balanced,1000,7.003,5.0,-0.00037832446109146577,0.49962144999296365,False,True
1.6753810680070127,24,Progressive,1000,6.989,4.999,-0.005730007484187988,0.14385915917883807,False,False
1.7940734548560793,25,Balanced,1000,7.001,5.0,-0.0014157702312794106,0.4996717053171422,False,False
2.112060469970172,26,Balanced,1000,6.999,5.0,-0.002554455088740175,0.49980619529259923,False,False
2.1325981713675155,27,Balanced,1000,6.997,5.0,-0.0036074223005434346,0.4999711913694553,False,False
2.2219877893266964,28,Aggressive,1000,6.99,5.0,-0.005091350146048126,0.14328794986101304,False,False
2.6584218163398727,29,Progressive,1000,6.99,4.999,-0.005488824663289753,0.14397123529655817,False,True
2.683505319818175,30,Balanced,1000,6.995,5.0,-0.004670766585823674,0.5003113418001068,False,False
2.957114994686462,31,Conservative,1000,7.003,5.0,0.00019581142119748924,0.8587675994165046,False,True
