Time,strategy,percent,reputation,rep_idx,profit,pr_idx
2291.0,Aggressive,0.75,5.642808702205128,2291,-1.2882384887358027,2291
2897.0,Opportunistic,0.75,5.83946658010164,2897,-1.4696903291519607,2897
3158.0,Progressive,0.75,6.020150503705754,3158,-1.571634920168512,3158
3193.0,Balanced,0.75,6.021701079171862,3193,-1.567827997204087,3193
4217.0,Aggressive,0.5,5.260558908754879,4217,-1.9475709377025936,4217
5188.0,Opportunistic,0.5,5.530806299781617,5188,-2.270380882557631,5188
5578.0,Progressive,0.5,5.693035883946783,5578,-2.476885049415741,5578
5606.0,Balanced,0.5,5.690879456884369,5606,-2.4630111617917785,5606
6383.0,Aggressive,0.25,5.054971442685871,6383,-2.487020798624131,6383
6712.0,Conservative,0.75,7.565215451558666,6712,-2.955527923907176,6712
7539.0,Opportunistic,0.25,5.45440706691791,7539,-2.937877172517376,7539
7896.0,Balanced,0.25,5.64492001929744,7896,-3.171803694732941,7896
7896.0,Progressive,0.25,5.636545186949025,7896,-3.2045690931160795,7896
9617.0,Conservative,0.5,7.77672022288225,9617,-4.92972669768586,9617
10836.0,Conservative,0.25,8.26213999803836,10836,-6.20077212712958,10836
