Time,strategy,fog_count
0.0,Aggressive,1000.0
0.0,Balanced,1000.0
0.0,Opportunistic,1000.0
0.0,Conservative,1000.0
0.0,Progressive,1000.0
1.0,Opportunistic,1000.0
1.0,Progressive,1000.0
1.0,Conservative,1000.0
1.0,Aggressive,1000.0
1.0,Balanced,1000.0
2.0,Progressive,1000.0
2.0,Opportunistic,1000.0
2.0,Aggressive,1000.0
2.0,Conservative,1000.0
2.0,Balanced,1000.0
3.0,Aggressive,1000.0
3.0,Balanced,1000.0
3.0,Conservative,1000.0
3.0,Progressive,1000.0
3.0,Opportunistic,1000.0
4.0,Opportunistic,1000.0
4.0,Conservative,1000.0
4.0,Balanced,1000.0
4.0,Aggressive,1000.0
4.0,Progressive,1000.0
5.0,Conservative,1000.0
5.0,Balanced,1000.0
5.0,Progressive,1000.0
5.0,Opportunistic,1000.0
5.0,Aggressive,1000.0
6.0,Aggressive,1000.0
6.0,Progressive,1000.0
6.0,Conservative,1000.0
6.0,Balanced,1000.0
6.0,Opportunistic,1000.0
7.0,Progressive,1000.0
7.0,Conservative,1000.0
7.0,Aggressive,1000.0
7.0,Balanced,1000.0
7.0,Opportunistic,1000.0
8.0,Aggressive,1000.0
8.0,Balanced,1000.0
8.0,Conservative,1000.0
8.0,Opportunistic,1000.0
8.0,Progressive,1000.0
9.0,Opportunistic,999.98
9.0,Balanced,1000.0
9.0,Progressive,1000.0
9.0,Conservative,1000.0
9.0,Aggressive,1000.0
10.0,Opportunistic,999.98
10.0,Conservative,1000.0
10.0,Balanced,1000.0
10.0,Progressive,1000.0
10.0,Aggressive,1000.0
11.0,Balanced,1000.0
11.0,Progressive,1000.0
11.0,Conservative,1000.0
11.0,Opportunistic,999.96
11.0,Aggressive,1000.0
12.0,Progressive,1000.0
12.0,Balanced,1000.0
12.0,Conservative,1000.0
12.0,Opportunistic,999.96
12.0,Aggressive,1000.0
13.0,Aggressive,1000.0
13.0,Conservative,1000.0
13.0,Progressive,1000.0
13.0,Balanced,1000.0
13.0,Opportunistic,999.96
14.0,Opportunistic,999.96
14.0,Conservative,1000.0
14.0,Balanced,1000.0
14.0,Progressive,1000.0
14.0,Aggressive,1000.0
15.0,Progressive,1000.0
15.0,Conservative,1000.0
15.0,Opportunistic,999.96
15.0,Aggressive,1000.0
15.0,Balanced,1000.0
16.0,Aggressive,1000.0
16.0,Progressive,1000.0
16.0,Conservative,1000.0
16.0,Opportunistic,999.94
16.0,Balanced,1000.0
17.0,Progressive,1000.0
17.0,Balanced,1000.0
17.0,Aggressive,1000.0
17.0,Opportunistic,999.94
17.0,Conservative,1000.0
18.0,Conservative,1000.0
18.0,Aggressive,1000.0
18.0,Opportunistic,999.94
18.0,Progressive,1000.0
18.0,Balanced,999.98
19.0,Aggressive,1000.0
19.0,Conservative,1000.0
19.0,Opportunistic,999.94
19.0,Progressive,1000.0
19.0,Balanced,999.98
20.0,Opportunistic,999.94
20.0,Progressive,1000.0
20.0,Balanced,999.96
20.0,Aggressive,1000.0
20.0,Conservative,1000.0
21.0,Conservative,1000.0
21.0,Progressive,1000.0
21.0,Balanced,999.96
21.0,Aggressive,999.98
21.0,Opportunistic,999.94
22.0,Progressive,1000.0
22.0,Balanced,999.96
22.0,Aggressive,999.98
22.0,Conservative,1000.0
22.0,Opportunistic,999.94
23.0,Opportunistic,999.94
23.0,Balanced,999.96
23.0,Conservative,1000.0
23.0,Progressive,999.98
23.0,Aggressive,999.98
24.0,Progressive,999.98
24.0,Aggressive,999.98
24.0,Opportunistic,999.94
24.0,Conservative,1000.0
24.0,Balanced,999.96
25.0,Conservative,1000.0
25.0,Progressive,999.96
25.0,Balanced,999.96
25.0,Aggressive,999.98
25.0,Opportunistic,999.94
26.0,Opportunistic,999.94
26.0,Progressive,999.96
26.0,Conservative,1000.0
26.0,Balanced,999.96
26.0,Aggressive,999.98
27.0,Aggressive,999.98
27.0,Opportunistic,999.94
27.0,Conservative,1000.0
27.0,Progressive,999.94
27.0,Balanced,999.96
28.0,Conservative,1000.0
28.0,Balanced,999.96
28.0,Progressive,999.94
28.0,Opportunistic,999.92
28.0,Aggressive,999.98
29.0,Opportunistic,999.88
29.0,Aggressive,999.98
29.0,Balanced,999.96
29.0,Conservative,1000.0
29.0,Progressive,999.94
30.0,Progressive,999.92
30.0,Balanced,999.96
30.0,Conservative,1000.0
30.0,Opportunistic,999.88
30.0,Aggressive,999.98
31.0,Balanced,999.94
31.0,Opportunistic,999.88
31.0,Progressive,999.92
31.0,Aggressive,999.98
31.0,Conservative,1000.0
32.0,Opportunistic,999.88
32.0,Progressive,999.92
32.0,Conservative,1000.0
32.0,Balanced,999.92
