Time,strategy,percent,reputation,rep_idx,profit,pr_idx
9.0,Aggressive,0.75,4.249614423152586,9,-1.7529279884315394,9
13.0,Aggressive,0.5,3.95048637941598,13,-2.285821863475281,13
14.0,Balanced,0.75,5.614053917316508,14,-1.8977066628294617,14
14.0,Progressive,0.75,5.603694808190591,14,-1.9064287261559567,14
17.0,Aggressive,0.25,3.8352306425085065,17,-2.6581080827456463,17
18.0,Opportunistic,0.75,4.950039914675583,18,-2.418190314232542,18
21.0,Balanced,0.5,5.393724455995749,21,-2.7625801874191005,21
21.0,Progressive,0.5,5.6709796667098535,21,-2.7481712945124777,21
27.0,Opportunistic,0.5,4.857247088563956,27,-3.463531346077064,27
30.0,Balanced,0.25,5.357979585988487,30,-3.6016221564798085,30
31.0,Progressive,0.25,5.547407799802536,31,-3.677681513890144,31
38.0,Opportunistic,0.25,4.780831324935814,38,-4.4973368590256095,38
73.0,Conservative,0.75,8.82668821609614,73,-8.727628998990879,73
103.0,Conservative,0.5,8.88821490148945,103,-14.108253623652825,103
121.0,Conservative,0.25,8.695253278533734,121,-17.348581907388066,121
