Time,strategy,avg_profit
0.0,Aggressive,0.0
0.0,Conservative,0.0
0.0,Opportunistic,0.0
0.0,Progressive,0.0
0.0,Balanced,0.0
1.0,Aggressive,-0.225592348462955
1.0,Opportunistic,-0.16455546498765983
1.0,Conservative,-0.03848105263736746
1.0,Progressive,-0.13629342859989368
1.0,Balanced,-0.151976687960604
2.0,Opportunistic,-0.33059308378704766
2.0,Progressive,-0.26669404918827455
2.0,Balanced,-0.2912766507313303
2.0,Conservative,-0.08225888356785906
2.0,Aggressive,-0.4380536053224896
3.0,Opportunistic,-0.47973469912810435
3.0,Conservative,-0.12664747864846068
3.0,Balanced,-0.4183590012973466
3.0,Progressive,-0.40408392682139377
3.0,Aggressive,-0.6526498693584061
4.0,Conservative,-0.16630702146107168
4.0,Opportunistic,-0.6330546947847893
4.0,Aggressive,-0.860180055077905
4.0,Balanced,-0.5532704076426598
4.0,Progressive,-0.5371581982300225
5.0,Balanced,-0.685709680821641
5.0,Aggressive,-1.0618177981422467
5.0,Progressive,-0.6701916963234906
5.0,Conservative,-0.21051771479399303
5.0,Opportunistic,-0.7714864760644481
6.0,Progressive,-0.8014347042943823
6.0,Balanced,-0.8229892013540864
6.0,Opportunistic,-0.911278025583665
6.0,Conservative,-0.24519634586109673
6.0,Aggressive,-1.2467972637142024
7.0,Balanced,-0.9630525416709955
7.0,Conservative,-0.28509230436405436
7.0,Progressive,-0.9562379577953262
7.0,Opportunistic,-1.0444836776504036
7.0,Aggressive,-1.4252479535556466
8.0,Conservative,-0.32863704989885
8.0,Aggressive,-1.597892263406911
8.0,Progressive,-1.0844726377227492
8.0,Balanced,-1.1013386991185015
8.0,Opportunistic,-1.1808214867094953
9.0,Conservative,-0.36937403049053813
9.0,Opportunistic,-1.3015251834827806
9.0,Progressive,-1.2254426437705574
9.0,Balanced,-1.2481162161048243
9.0,Aggressive,-1.7529279884315394
10.0,Progressive,-1.3651696255802248
10.0,Opportunistic,-1.4210994780270305
10.0,Conservative,-0.412413278895992
10.0,Aggressive,-1.8980191431029891
10.0,Balanced,-1.3778158873635535
11.0,Opportunistic,-1.549292140987033
11.0,Conservative,-0.4642806741725041
11.0,Aggressive,-2.027155609255059
11.0,Progressive,-1.4979542409736455
11.0,Balanced,-1.5021932650932956
12.0,Opportunistic,-1.6708298336387077
12.0,Aggressive,-2.15360882657294
12.0,Progressive,-1.62542415173173
12.0,Balanced,-1.643321855423799
12.0,Conservative,-0.5184569901123184
13.0,Opportunistic,-1.8048746485198057
13.0,Progressive,-1.7623664836077961
13.0,Balanced,-1.7664806009441247
13.0,Aggressive,-2.285821863475281
13.0,Conservative,-0.5693561262619654
14.0,Opportunistic,-1.9231301769400968
14.0,Conservative,-0.6257294187657909
14.0,Aggressive,-2.3954916214132376
14.0,Balanced,-1.8977066628294617
14.0,Progressive,-1.9064287261559567
15.0,Progressive,-2.029873293660304
15.0,Opportunistic,-2.043050973860234
15.0,Aggressive,-2.4991528846047295
15.0,Conservative,-0.6929847250874471
15.0,Balanced,-2.0296218304284275
16.0,Progressive,-2.153090252670984
16.0,Balanced,-2.1680395354264435
16.0,Conservative,-0.7494585061402144
16.0,Opportunistic,-2.1706811179436456
16.0,Aggressive,-2.581895479247188
17.0,Aggressive,-2.6581080827456463
17.0,Conservative,-0.8030852301708409
17.0,Opportunistic,-2.284140794970192
17.0,Balanced,-2.276848478493431
17.0,Progressive,-2.2762193511023
18.0,Balanced,-2.4044465339481182
18.0,Conservative,-0.8819248127319047
18.0,Opportunistic,-2.418190314232542
18.0,Progressive,-2.3965246189340155
18.0,Aggressive,-2.7247044001413623
19.0,Opportunistic,-2.5465642159291346
19.0,Conservative,-0.9555293243781138
19.0,Progressive,-2.5072768596530723
19.0,Aggressive,-2.780993003128494
19.0,Balanced,-2.5316239295086844
20.0,Progressive,-2.6180962627916364
20.0,Aggressive,-2.8271509028650206
20.0,Balanced,-2.643960701714875
20.0,Conservative,-1.0317971964389328
20.0,Opportunistic,-2.654873393673879
21.0,Progressive,-2.7481712945124777
21.0,Opportunistic,-2.780925572666385
21.0,Aggressive,-2.8620667779118043
21.0,Balanced,-2.7625801874191005
21.0,Conservative,-1.1088523742828253
22.0,Aggressive,-2.8911762704692507
22.0,Balanced,-2.8656265395782947
22.0,Progressive,-2.8629112860887704
22.0,Opportunistic,-2.9033694213069645
22.0,Conservative,-1.1831126917170776
23.0,Opportunistic,-3.0200015524283357
23.0,Balanced,-2.9725792427362605
23.0,Progressive,-2.958955833606171
23.0,Conservative,-1.2608540113413982
23.0,Aggressive,-2.923427984956236
24.0,Aggressive,-2.945868921208202
24.0,Conservative,-1.3498505406120986
24.0,Opportunistic,-3.1307862879262394
