Time,strategy,avg_profit
0.0,Aggressive,0.0
0.0,Progressive,0.0
0.0,Conservative,0.0
0.0,Opportunistic,0.0
0.0,Balanced,0.0
1.0,Aggressive,-0.07549443979177645
1.0,Conservative,-0.013925141600644652
1.0,Progressive,-0.04061895595325987
1.0,Opportunistic,-0.05079668561101234
1.0,Balanced,-0.04231230195840412
2.0,Conservative,-0.026040382598113872
2.0,Opportunistic,-0.09753004656783976
2.0,Progressive,-0.0860368457001512
2.0,Aggressive,-0.1406899314867518
2.0,Balanced,-0.08883101590926817
3.0,Aggressive,-0.2122799668969577
3.0,Conservative,-0.03753440999978988
3.0,Progressive,-0.1314028878478286
3.0,Balanced,-0.1260133415222075
3.0,Opportunistic,-0.1543032062437559
4.0,Opportunistic,-0.20541822922650765
4.0,Conservative,-0.05424619188207262
4.0,Aggressive,-0.2789878991964837
4.0,Balanced,-0.17154061214703312
4.0,Progressive,-0.17758884446397633
5.0,Progressive,-0.22158976818802517
5.0,Conservative,-0.06476285883251165
5.0,Aggressive,-0.35669487053614957
5.0,Balanced,-0.21606423328511748
5.0,Opportunistic,-0.256160318001908
6.0,Opportunistic,-0.30870662101169966
6.0,Balanced,-0.25871450124751233
6.0,Progressive,-0.2639192025234059
6.0,Aggressive,-0.42168458506542533
6.0,Conservative,-0.07912094273253095
7.0,Conservative,-0.0911749453627391
7.0,Balanced,-0.2984477998035661
7.0,Progressive,-0.31466372626925365
7.0,Aggressive,-0.4936860367650293
7.0,Opportunistic,-0.35755441608682653
8.0,Balanced,-0.34145631499401125
8.0,Aggressive,-0.5647306014414473
8.0,Opportunistic,-0.40657087910904516
8.0,Conservative,-0.10316982871960242
8.0,Progressive,-0.3525493466646983
9.0,Opportunistic,-0.4523995234871605
9.0,Balanced,-0.38535219359637923
9.0,Progressive,-0.3932793044987584
9.0,Aggressive,-0.6318401030651909
9.0,Conservative,-0.1125224513024713
10.0,Aggressive,-0.7044864309171637
10.0,Conservative,-0.12718961154393185
10.0,Balanced,-0.4255462401101291
