Time,strategy,percent,reputation,rep_idx,profit,pr_idx
169.0,Aggressive,0.75,4.312476981515327,169,-1.705262128034034,169
257.0,Aggressive,0.5,3.762692819905816,257,-2.3222969826497164,257
300.0,Balanced,0.75,5.239996352387704,300,-2.094960997210349,300
309.0,Progressive,0.75,5.221450571552555,309,-2.137930920766125,309
362.0,Aggressive,0.25,3.349862508309911,362,-2.8049449395545123,362
469.0,Opportunistic,0.75,4.322275529243342,469,-3.1166696206028286,469
474.0,Balanced,0.5,4.729980628872252,474,-3.172159294673057,474
491.0,Progressive,0.5,4.860498512238777,491,-3.2285432351815064,491
664.0,Balanced,0.25,4.551828430475697,664,-4.051196083312845,664
708.0,Progressive,0.25,4.970800613604686,708,-4.183974867417209,708
729.0,Opportunistic,0.5,4.196760175582979,729,-4.6574540430226286,729
1019.0,Opportunistic,0.25,4.162205620313355,1019,-6.069684965263599,1019
1366.0,Conservative,0.75,8.61194399157054,1366,-7.506793831804223,1366
1703.0,Conservative,0.5,8.68243058273369,1703,-10.698319449171338,1703
1940.0,Conservative,0.25,8.734291541184472,1940,-13.044715279009417,1940
