Time,strategy,fog_count
2.25,Conservative,999.96
2.25,Aggressive,999.1
2.25,Cyclic,999.94
2.25,Opportunistic,999.66
2.3,Balanced,999.78
2.3,Aggressive,999.08
2.3,Cyclic,999.94
2.3,Conservative,999.96
2.3,Opportunistic,999.64
2.35,Opportunistic,999.62
2.35,Balanced,999.74
2.35,Cyclic,999.94
2.35,Conservative,999.96
2.35,Aggressive,999.02
2.4,Balanced,999.74
2.4,Aggressive,998.96
2.4,Opportunistic,999.62
2.4,Cyclic,999.94
2.4,Conservative,999.96
2.45,Conservative,999.96
2.45,Opportunistic,999.6
2.45,Cyclic,999.94
2.45,Aggressive,998.92
2.45,Balanced,999.72
2.5,Aggressive,998.9
2.5,Balanced,999.7
2.5,Cyclic,999.94
2.5,Conservative,999.96
2.5,Opportunistic,999.6
2.55,Opportunistic,999.6
2.55,Aggressive,998.86
2.55,Conservative,999.96
2.55,Cyclic,999.94
2.55,Balanced,999.66
2.6,Opportunistic,999.6
2.6,Cyclic,999.94
2.6,Conservative,999.96
2.6,Aggressive,998.82
2.6,Balanced,999.62
2.65,Aggressive,998.82
2.65,Opportunistic,999.56
2.65,Balanced,999.62
2.65,Cyclic,999.94
2.65,Conservative,999.96
2.7,Cyclic,999.92
2.7,Opportunistic,999.54
2.7,Aggressive,998.8
2.7,Conservative,999.96
2.7,Balanced,999.62
2.75,Conservative,999.96
2.75,Cyclic,999.92
2.75,Balanced,999.62
2.75,Opportunistic,999.52
2.75,Aggressive,998.72
2.8,Opportunistic,999.52
2.8,Balanced,999.62
2.8,Aggressive,998.68
2.8,Cyclic,999.92
2.8,Conservative,999.96
2.85,Aggressive,998.68
2.85,Balanced,999.6
2.85,Conservative,999.94
2.85,Cyclic,999.92
2.85,Opportunistic,999.5
2.9,Aggressive,998.66
2.9,Cyclic,999.92
2.9,Balanced,999.6
2.9,Opportunistic,999.5
2.9,Conservative,999.94
2.95,Opportunistic,999.48
2.95,Cyclic,999.92
2.95,Balanced,999.56
2.95,Conservative,999.94
2.95,Aggressive,998.66
3.0,Cyclic,999.92
3.0,Conservative,999.94
3.0,Aggressive,998.58
3.0,Balanced,999.56
3.0,Opportunistic,999.46
3.05,Conservative,999.94
3.05,Cyclic,999.92
3.05,Opportunistic,999.44
3.05,Aggressive,998.58
3.05,Balanced,999.56
3.1,Aggressive,998.52
3.1,Conservative,999.94
3.1,Balanced,999.56
3.1,Opportunistic,999.44
3.1,Cyclic,999.92
3.15,Balanced,999.56
3.15,Conservative,999.94
3.15,Cyclic,999.92
3.15,Opportunistic,999.44
3.15,Aggressive,998.46
3.2,Conservative,999.92
3.2,Aggressive,998.36
3.2,Cyclic,999.92
3.2,Balanced,999.56
3.2,Opportunistic,999.44
3.25,Opportunistic,999.44
3.25,Aggressive,998.36
3.25,Cyclic,999.92
3.25,Balanced,999.54
3.25,Conservative,999.92
3.3,Conservative,999.92
3.3,Cyclic,999.92
3.3,Opportunistic,999.4
3.3,Aggressive,998.32
3.3,Balanced,999.48
3.35,Balanced,999.48
3.35,Aggressive,998.3
3.35,Cyclic,999.92
3.35,Opportunistic,999.4
3.35,Conservative,999.92
3.4,Aggressive,998.24
3.4,Opportunistic,999.36
3.4,Conservative,999.92
3.4,Cyclic,999.92
3.4,Balanced,999.46
3.45,Conservative,999.92
3.45,Aggressive,998.22
3.45,Opportunistic,999.36
3.45,Balanced,999.42
3.45,Cyclic,999.92
3.5,Balanced,999.4
3.5,Aggressive,998.18
3.5,Opportunistic,999.36
3.5,Cyclic,999.92
3.5,Conservative,999.92
3.55,Balanced,999.38
3.55,Cyclic,999.9
3.55,Conservative,999.92
3.55,Aggressive,998.12
3.55,Opportunistic,999.36
3.6,Balanced,999.38
3.6,Aggressive,998.06
3.6,Opportunistic,999.32
3.6,Conservative,999.92
3.6,Cyclic,999.9
3.65,Balanced,999.32
3.65,Conservative,999.92
3.65,Cyclic,999.88
3.65,Aggressive,998.04
3.65,Opportunistic,999.3
3.7,Cyclic,999.88
3.7,Conservative,999.9
3.7,Balanced,999.32
3.7,Aggressive,998.0
3.7,Opportunistic,999.24
3.75,Cyclic,999.88
3.75,Balanced,999.3
3.75,Opportunistic,999.2
3.75,Conservative,999.9
3.75,Aggressive,997.98
3.8,Balanced,999.3
3.8,Conservative,999.9
3.8,Cyclic,999.84
3.8,Aggressive,997.94
3.8,Opportunistic,999.18
3.85,Opportunistic,999.12
3.85,Conservative,999.9
3.85,Aggressive,997.84
3.85,Cyclic,999.84
3.85,Balanced,999.26
3.9,Conservative,999.9
3.9,Cyclic,999.84
3.9,Aggressive,997.78
3.9,Balanced,999.26
3.9,Opportunistic,999.12
3.95,Balanced,999.26
3.95,Cyclic,999.82
3.95,Opportunistic,999.04
3.95,Conservative,999.9
3.95,Aggressive,997.74
4.0,Balanced,999.24
4.0,Conservative,999.9
4.0,Opportunistic,998.98
4.0,Cyclic,999.82
4.0,Aggressive,997.74
4.05,Aggressive,997.62
4.05,Opportunistic,998.96
4.05,Conservative,999.9
4.05,Balanced,999.22
4.05,Cyclic,999.82
4.1,Cyclic,999.82
4.1,Aggressive,997.58
4.1,Conservative,999.9
4.1,Opportunistic,998.94
4.1,Balanced,999.18
4.15,Conservative,999.9
4.15,Opportunistic,998.94
4.15,Balanced,999.16
4.15,Aggressive,997.52
4.15,Cyclic,999.82
4.2,Cyclic,999.82
4.2,Aggressive,997.46
4.2,Opportunistic,998.92
4.2,Balanced,999.16
4.2,Conservative,999.9
4.25,Balanced,999.14
4.25,Opportunistic,998.9
4.25,Aggressive,997.4
4.25,Conservative,999.9
4.25,Cyclic,999.82
4.3,Balanced,999.14
4.3,Opportunistic,998.88
4.3,Aggressive,997.36
4.3,Conservative,999.9
4.3,Cyclic,999.8
4.35,Balanced,999.14
4.35,Conservative,999.9
4.35,Aggressive,997.28
4.35,Opportunistic,998.88
4.35,Cyclic,999.8
4.4,Opportunistic,998.88
4.4,Aggressive,997.24
4.4,Conservative,999.9
4.4,Balanced,999.12
4.4,Cyclic,999.8
4.45,Aggressive,997.2
4.45,Conservative,999.9
4.45,Cyclic,999.8
4.45,Balanced,999.1
4.45,Opportunistic,998.86
4.5,Conservative,999.86
4.5,Aggressive,997.14
4.5,Cyclic,999.8
4.5,Balanced,999.08
4.5,Opportunistic,998.8
4.55,Conservative,999.86
4.55,Opportunistic,998.8
4.55,Aggressive,997.08
4.55,Cyclic,999.8
4.55,Balanced,999.04
4.6,Opportunistic,998.8
4.6,Aggressive,997.0
4.6,Cyclic,999.8
4.6,Balanced,999.02
4.6,Conservative,999.86
4.65,Aggressive,996.96
4.65,Conservative,999.86
4.65,Cyclic,999.8
4.65,Balanced,999.02
4.65,Opportunistic,998.8
4.7,Conservative,999.86
4.7,Cyclic,999.8
4.7,Balanced,999.02
4.7,Aggressive,996.86
4.7,Opportunistic,998.8
4.75,Aggressive,996.78
4.75,Conservative,999.86
4.75,Balanced,999.02
4.75,Cyclic,999.78
4.75,Opportunistic,998.8
4.8,Opportunistic,998.78
4.8,Aggressive,996.66
4.8,Cyclic,999.76
4.8,Conservative,999.86
4.8,Balanced,999.02
4.85,Opportunistic,998.76
4.85,Aggressive,996.6
4.85,Balanced,999.02
4.85,Conservative,999.86
4.85,Cyclic,999.76
4.9,Opportunistic,998.74
4.9,Balanced,999.02
4.9,Cyclic,999.72
4.9,Aggressive,996.54
4.9,Conservative,999.86
4.95,Conservative,999.84
4.95,Opportunistic,998.68
4.95,Aggressive,996.44
4.95,Cyclic,999.72
4.95,Balanced,999.02
5.0,Aggressive,996.32
5.0,Conservative,999.84
5.0,Balanced,999.0
5.0,Cyclic,999.7
5.0,Opportunistic,998.64
5.05,Aggressive,996.24
5.05,Opportunistic,998.64
5.05,Cyclic,999.7
5.05,Balanced,998.98
5.05,Conservative,999.82
5.1,Balanced,998.94
5.1,Conservative,999.82
5.1,Cyclic,999.7
5.1,Opportunistic,998.62
5.1,Aggressive,996.16
5.15,Conservative,999.82
5.15,Aggressive,996.08
5.15,Cyclic,999.7
5.15,Opportunistic,998.62
5.15,Balanced,998.92
5.2,Opportunistic,998.62
5.2,Aggressive,996.06
5.2,Conservative,999.82
5.2,Balanced,998.9
5.2,Cyclic,999.7
5.25,Conservative,999.82
5.25,Balanced,998.86
5.25,Cyclic,999.68
5.25,Opportunistic,998.6
5.25,Aggressive,995.98
5.3,Balanced,998.8
5.3,Conservative,999.82
5.3,Opportunistic,998.56
5.3,Aggressive,995.96
5.3,Cyclic,999.68
5.35,Balanced,998.78
5.35,Cyclic,999.68
5.35,Conservative,999.82
5.35,Aggressive,995.88
5.35,Opportunistic,998.52
5.4,Opportunistic,998.52
5.4,Balanced,998.76
5.4,Aggressive,995.8
5.4,Cyclic,999.68
5.4,Conservative,999.82
5.45,Conservative,999.82
5.45,Cyclic,999.68
5.45,Aggressive,995.72
5.45,Balanced,998.74
5.45,Opportunistic,998.52
5.5,Cyclic,999.66
5.5,Conservative,999.82
5.5,Balanced,998.72
5.5,Aggressive,995.6
5.5,Opportunistic,998.5
5.55,Conservative,999.8
5.55,Aggressive,995.52
5.55,Balanced,998.7
5.55,Cyclic,999.66
5.55,Opportunistic,998.48
5.6,Opportunistic,998.48
5.6,Conservative,999.8
5.6,Balanced,998.66
5.6,Aggressive,995.42
5.6,Cyclic,999.66
5.65,Aggressive,995.36
5.65,Balanced,998.64
5.65,Conservative,999.8
5.65,Cyclic,999.66
5.65,Opportunistic,998.48
5.7,Aggressive,995.3
5.7,Balanced,998.62
5.7,Conservative,999.78
5.7,Opportunistic,998.38
5.7,Cyclic,999.66
5.75,Opportunistic,998.34
5.75,Cyclic,999.66
5.75,Conservative,999.76
5.75,Aggressive,995.24
5.75,Balanced,998.62
5.8,Cyclic,999.64
5.8,Balanced,998.52
5.8,Opportunistic,998.34
5.8,Aggressive,995.16
5.8,Conservative,999.74
5.85,Cyclic,999.64
5.85,Balanced,998.52
5.85,Conservative,999.72
5.85,Opportunistic,998.32
5.85,Aggressive,995.06
5.9,Opportunistic,998.32
5.9,Balanced,998.5
5.9,Conservative,999.72
5.9,Cyclic,999.62
5.9,Aggressive,995.02
5.95,Cyclic,999.62
5.95,Aggressive,994.96
5.95,Balanced,998.44
5.95,Opportunistic,998.32
5.95,Conservative,999.72
6.0,Conservative,999.72
6.0,Aggressive,994.82
6.0,Opportunistic,998.32
6.0,Balanced,998.44
6.0,Cyclic,999.62
6.05,Aggressive,994.82
6.05,Conservative,999.72
6.05,Balanced,998.42
6.05,Opportunistic,998.32
6.05,Cyclic,999.6
6.1,Cyclic,999.56
6.1,Balanced,998.38
6.1,Conservative,999.72
6.1,Opportunistic,998.3
6.1,Aggressive,994.76
6.15,Aggressive,994.66
6.15,Conservative,999.72
6.15,Opportunistic,998.26
6.15,Balanced,998.34
6.15,Cyclic,999.56
