Time,strategy,avg_profit
1.0,Aggressive,-0.021178093030226948
1.0,Balanced,-0.014532482974300613
1.0,Opportunistic,-0.01585568963265086
1.0,Cyclic,-0.02085964746010433
1.05,Aggressive,-0.02232762599220223
1.05,Opportunistic,-0.016668370489411267
1.05,Conservative,-0.006946101887933744
1.05,Cyclic,-0.021684138849030324
1.05,Balanced,-0.01506828348581555
1.1,Conservative,-0.0073316886888982425
1.1,Balanced,-0.01579702947084529
1.1,Cyclic,-0.022570289004552654
1.1,Aggressive,-0.02345296562464849
1.1,Opportunistic,-0.017480989771465758
1.15,Cyclic,-0.02392616297936444
1.15,Opportunistic,-0.018026270225283848
1.15,Aggressive,-0.024607370131967534
1.15,Balanced,-0.016427353993377632
1.15,Conservative,-0.007578006018207756
1.2,Opportunistic,-0.019012917270201678
1.2,Conservative,-0.007946321567465785
1.2,Cyclic,-0.025099429761450756
1.2,Aggressive,-0.025810036305915034
1.2,Balanced,-0.017170175252851656
1.25,Opportunistic,-0.019851598779117248
1.25,Aggressive,-0.026570566158706267
1.25,Balanced,-0.017844417641558006
1.25,Cyclic,-0.026022119007897592
1.25,Conservative,-0.008395242788847318
1.3,Cyclic,-0.026882311030922205
1.3,Balanced,-0.018372729027573635
1.3,Conservative,-0.008852646886831156
1.3,Aggressive,-0.02735910100637329
1.3,Opportunistic,-0.020701991873797537
1.35,Opportunistic,-0.021552753627185343
1.35,Balanced,-0.0189369713892565
1.35,Conservative,-0.009169296737644902
1.35,Aggressive,-0.028532334089401066
1.35,Cyclic,-0.0277078148563159
1.4,Cyclic,-0.02859549352495204
1.4,Balanced,-0.019679343864288427
1.4,Opportunistic,-0.02234275246550915
1.4,Aggressive,-0.02966466006071138
1.4,Conservative,-0.00954512799823172
1.45,Balanced,-0.020504204095720804
1.45,Aggressive,-0.03032676831708088
1.45,Cyclic,-0.029404092051171365
1.45,Conservative,-0.009845126905881723
1.45,Opportunistic,-0.022983869072013788
1.5,Balanced,-0.02095483192097031
1.5,Aggressive,-0.03125299133302767
1.5,Cyclic,-0.030597057502172537
1.5,Conservative,-0.010190821144642313
1.5,Opportunistic,-0.0236331831907948
1.55,Balanced,-0.02142148301854179
1.55,Aggressive,-0.03203189458958781
1.55,Conservative,-0.01042709389948749
1.55,Opportunistic,-0.02440105333653586
1.55,Cyclic,-0.03148378123684034
1.6,Conservative,-0.010723376123032589
1.6,Aggressive,-0.03295711358892343
1.6,Cyclic,-0.03253588853904009
1.6,Balanced,-0.02207177830911834
1.6,Opportunistic,-0.02505075200775229
1.65,Opportunistic,-0.025739603990754447
1.65,Conservative,-0.010938979004546634
1.65,Aggressive,-0.03401322542230018
1.65,Cyclic,-0.033599034170534024
1.65,Balanced,-0.02257229023734519
1.7,Opportunistic,-0.026471525449815746
1.7,Aggressive,-0.035141335037845625
1.7,Balanced,-0.023244531726691338
1.7,Conservative,-0.011274740516857491
1.7,Cyclic,-0.03501071395152429
1.75,Balanced,-0.024094448307964006
1.75,Cyclic,-0.0356487863525982
1.75,Conservative,-0.011526163931136656
1.75,Opportunistic,-0.027306174247596467
1.75,Aggressive,-0.035928163283459616
1.8,Conservative,-0.011780826367746322
