Time,strategy,fog_count
0.0,Aggressive,100.0
0.0,Progressive,100.0
0.0,Conservative,100.0
0.0,Opportunistic,100.0
0.0,Balanced,100.0
1.0,Aggressive,100.0
1.0,Conservative,100.0
1.0,Progressive,100.0
1.0,Opportunistic,100.0
1.0,Balanced,100.0
2.0,Conservative,100.0
2.0,Opportunistic,100.0
2.0,Progressive,100.0
2.0,Aggressive,99.98
2.0,Balanced,100.0
3.0,Aggressive,99.94
3.0,Conservative,100.0
3.0,Progressive,99.98
3.0,Balanced,99.98
3.0,Opportunistic,100.0
4.0,Opportunistic,99.98
4.0,Conservative,100.0
4.0,Aggressive,99.84
4.0,Balanced,99.98
4.0,Progressive,99.96
5.0,Progressive,99.92
5.0,Conservative,100.0
5.0,Aggressive,99.68
5.0,Balanced,99.92
5.0,Opportunistic,99.94
6.0,Opportunistic,99.94
6.0,Balanced,99.84
6.0,Progressive,99.86
6.0,Aggressive,99.44
6.0,Conservative,99.98
7.0,Conservative,99.98
7.0,Balanced,99.76
7.0,Progressive,99.7
7.0,Aggressive,99.18
7.0,Opportunistic,99.88
8.0,Balanced,99.62
8.0,Aggressive,98.6
8.0,Opportunistic,99.82
8.0,Conservative,99.98
8.0,Progressive,99.64
9.0,Opportunistic,99.78
9.0,Balanced,99.42
9.0,Progressive,99.52
9.0,Aggressive,98.04
9.0,Conservative,99.96
10.0,Aggressive,97.42
10.0,Conservative,99.94
10.0,Balanced,99.28
10.0,Opportunistic,99.64
10.0,Progressive,99.34
11.0,Progressive,99.14
11.0,Aggressive,96.78
11.0,Conservative,99.92
11.0,Opportunistic,99.54
11.0,Balanced,99.08
12.0,Aggressive,95.82
12.0,Conservative,99.92
12.0,Progressive,98.88
12.0,Opportunistic,99.42
12.0,Balanced,98.94
13.0,Conservative,99.9
13.0,Progressive,98.64
13.0,Opportunistic,99.24
13.0,Balanced,98.74
13.0,Aggressive,94.98
14.0,Conservative,99.88
14.0,Progressive,98.32
14.0,Balanced,98.48
14.0,Opportunistic,98.98
14.0,Aggressive,94.18
15.0,Opportunistic,98.66
15.0,Progressive,97.96
15.0,Conservative,99.88
15.0,Aggressive,92.92
15.0,Balanced,97.94
16.0,Progressive,97.42
16.0,Opportunistic,98.48
16.0,Conservative,99.88
16.0,Balanced,97.58
16.0,Aggressive,91.76
17.0,Opportunistic,98.2
17.0,Balanced,97.06
17.0,Conservative,99.86
17.0,Progressive,96.92
17.0,Aggressive,90.32
18.0,Progressive,96.52
18.0,Opportunistic,97.9
18.0,Balanced,96.6
18.0,Conservative,99.86
18.0,Aggressive,89.1
19.0,Aggressive,87.7
19.0,Opportunistic,97.56
19.0,Conservative,99.82
19.0,Progressive,96.06
19.0,Balanced,95.92
20.0,Aggressive,86.06
20.0,Opportunistic,97.16
20.0,Conservative,99.82
20.0,Balanced,95.34
20.0,Progressive,95.62
21.0,Aggressive,84.52
21.0,Conservative,99.82
21.0,Opportunistic,96.88
21.0,Balanced,94.68
21.0,Progressive,95.14
22.0,Progressive,94.48
22.0,Conservative,99.82
22.0,Balanced,94.06
22.0,Aggressive,83.12
22.0,Opportunistic,96.32
23.0,Opportunistic,95.94
23.0,Balanced,93.36
23.0,Conservative,99.78
23.0,Progressive,93.66
23.0,Aggressive,81.28
24.0,Opportunistic,95.58
24.0,Balanced,92.82
24.0,Progressive,92.88
24.0,Conservative,99.74
24.0,Aggressive,79.18
25.0,Progressive,92.18
25.0,Aggressive,77.46
25.0,Conservative,99.74
25.0,Opportunistic,95.14
25.0,Balanced,92.02
26.0,Aggressive,75.78
26.0,Progressive,91.42
26.0,Conservative,99.72
26.0,Opportunistic,94.58
26.0,Balanced,91.32
27.0,Aggressive,74.0
27.0,Progressive,90.46
27.0,Conservative,99.7
27.0,Opportunistic,94.14
27.0,Balanced,90.64
28.0,Conservative,99.66
28.0,Progressive,89.74
28.0,Aggressive,72.38
28.0,Opportunistic,93.48
28.0,Balanced,89.66
29.0,Balanced,88.84
29.0,Conservative,99.58
29.0,Aggressive,70.54
29.0,Opportunistic,92.84
29.0,Progressive,88.82
30.0,Balanced,87.84
30.0,Opportunistic,92.16
30.0,Conservative,99.54
30.0,Progressive,87.86
30.0,Aggressive,68.66
31.0,Balanced,86.82
31.0,Progressive,86.88
31.0,Aggressive,66.96
31.0,Opportunistic,91.8
31.0,Conservative,99.44
32.0,Aggressive,64.82
32.0,Opportunistic,91.24
32.0,Balanced,85.6
32.0,Progressive,85.98
32.0,Conservative,99.36
33.0,Progressive,85.18
33.0,Aggressive,62.6
33.0,Opportunistic,90.52
33.0,Conservative,99.26
33.0,Balanced,84.6
34.0,Balanced,83.54
34.0,Aggressive,60.58
34.0,Progressive,84.28
34.0,Opportunistic,89.94
34.0,Conservative,99.22
35.0,Aggressive,58.54
