Time,strategy,avg_profit
0.0,Aggressive,0.0
0.0,Progressive,0.0
0.0,Balanced,0.0
0.0,Conservative,0.0
0.0,Opportunistic,0.0
1.0,Opportunistic,-0.004562168372577917
1.0,Progressive,-0.0032459711052615797
1.0,Aggressive,-0.005350310320418242
1.0,Balanced,-0.003446640708407998
1.0,Conservative,-0.0010407088467677893
2.0,Aggressive,-0.010928618556908277
2.0,Balanced,-0.007209773002543887
2.0,Progressive,-0.006905007701174204
2.0,Opportunistic,-0.008414802875976842
2.0,Conservative,-0.0021664276168808397
3.0,Progressive,-0.010489696565202185
3.0,Opportunistic,-0.012288767766952743
3.0,Conservative,-0.0033265976466269843
3.0,Balanced,-0.010542395047352063
3.0,Aggressive,-0.0174257051867975
4.0,Balanced,-0.0144252579394445
4.0,Opportunistic,-0.016090166223815917
4.0,Conservative,-0.004647180970928012
4.0,Progressive,-0.014093731983091216
4.0,Aggressive,-0.023106184011263294
5.0,Conservative,-0.005338133800389711
5.0,Progressive,-0.017875457525349973
5.0,Balanced,-0.01828503911527617
5.0,Aggressive,-0.029348437256262235
5.0,Opportunistic,-0.020404676994477663
6.0,Opportunistic,-0.02466966730678277
6.0,Balanced,-0.02108149040974143
6.0,Conservative,-0.006459069993455051
6.0,Progressive,-0.022395277703304614
6.0,Aggressive,-0.034896517571765755
7.0,Balanced,-0.024910231346502432
7.0,Conservative,-0.0073837615298090985
7.0,Opportunistic,-0.02859541794884117
7.0,Progressive,-0.026930072509036625
7.0,Aggressive,-0.040553713378130206
8.0,Opportunistic,-0.03251626762291062
8.0,Progressive,-0.030538341958013752
8.0,Balanced,-0.02852457385911249
8.0,Aggressive,-0.046520010653095314
8.0,Conservative,-0.008301212568274463
9.0,Aggressive,-0.05260836263214198
9.0,Progressive,-0.03389220855230674
9.0,Opportunistic,-0.0371007451557302
9.0,Conservative,-0.009087122328317149
9.0,Balanced,-0.0319177461331544
10.0,Aggressive,-0.05893006424637352
10.0,Balanced,-0.035913713005438906
10.0,Opportunistic,-0.04088953167973415
