Time,strategy,avg_reputation
0.0,Aggressive,7.0
0.0,Progressive,7.0
0.0,Balanced,7.0
0.0,Conservative,7.0
0.0,Opportunistic,7.0
1.0,Opportunistic,6.9863
1.0,Conservative,7.0095600000000005
1.0,Progressive,6.99138
1.0,Aggressive,6.9737
1.0,Balanced,6.98704
2.0,Progressive,6.980719999999999
2.0,Balanced,6.976960000000002
2.0,Opportunistic,6.9728200000000005
2.0,Conservative,7.017320000000001
2.0,Aggressive,6.946300000000001
3.0,Balanced,6.96608
3.0,Opportunistic,6.957940000000001
3.0,Conservative,7.025139999999999
3.0,Progressive,6.969079999999999
3.0,Aggressive,6.92212
4.0,Balanced,6.956239999999999
4.0,Aggressive,6.8959
4.0,Conservative,7.0333000000000006
4.0,Progressive,6.959700000000001
4.0,Opportunistic,6.9442200000000005
5.0,Balanced,6.94702
5.0,Conservative,7.040080000000001
5.0,Progressive,6.946880000000001
5.0,Opportunistic,6.930160000000002
5.0,Aggressive,6.8706000000000005
6.0,Aggressive,6.84548
6.0,Balanced,6.93786
6.0,Progressive,6.934939999999999
6.0,Conservative,7.04832
6.0,Opportunistic,6.91784
7.0,Progressive,6.925520000000001
7.0,Aggressive,6.820844609218437
7.0,Conservative,7.05654
7.0,Balanced,6.92806
7.0,Opportunistic,6.9031
8.0,Opportunistic,6.89161639278557
8.0,Conservative,7.064420000000001
8.0,Progressive,6.913537515030059
8.0,Balanced,6.916579999999999
8.0,Aggressive,6.796324333969144
9.0,Opportunistic,6.87881639278557
9.0,Conservative,7.074059999999999
9.0,Balanced,6.90498
9.0,Aggressive,6.769272464446967
9.0,Progressive,6.900697354709419
10.0,Opportunistic,6.864455911823646
10.0,Balanced,6.89686
10.0,Conservative,7.08156
10.0,Aggressive,6.745384560446195
10.0,Progressive,6.892170821643287
11.0,Progressive,6.878769138276554
11.0,Conservative,7.089639999999999
11.0,Aggressive,6.716687475191346
11.0,Balanced,6.88958
11.0,Opportunistic,6.85162881763527
12.0,Conservative,7.096040000000001
12.0,Aggressive,6.688023693652365
12.0,Progressive,6.868508456913828
12.0,Balanced,6.87856
12.0,Opportunistic,6.838967935871743
13.0,Conservative,7.1025599999999995
13.0,Progressive,6.861047735470942
13.0,Opportunistic,6.8254275350701406
13.0,Balanced,6.86646
13.0,Aggressive,6.664543128666972
14.0,Progressive,6.852766693386773
14.0,Conservative,7.110499999999999
14.0,Balanced,6.85762
14.0,Opportunistic,6.8128154038196875
14.0,Aggressive,6.640021519665838
15.0,Balanced,6.84896
15.0,Conservative,7.1166599999999995
15.0,Opportunistic,6.802173479167169
15.0,Progressive,6.844041723446893
15.0,Aggressive,6.611040712428875
16.0,Aggressive,6.585760145029013
16.0,Progressive,6.831686452905811
16.0,Balanced,6.838900000000001
16.0,Conservative,7.125300000000001
16.0,Opportunistic,6.790551713547578
17.0,Progressive,6.822178677354709
17.0,Aggressive,6.560029648534016
17.0,Opportunistic,6.7732698679286285
17.0,Conservative,7.1324999999999985
17.0,Balanced,6.83072
18.0,Balanced,6.8202
18.0,Progressive,6.8152235270541075
18.0,Opportunistic,6.758726095564623
18.0,Aggressive,6.536972483440776
18.0,Conservative,7.140003807615232
19.0,Balanced,6.809394949899798
19.0,Aggressive,6.511589302138415
19.0,Conservative,7.149604368737475
19.0,Opportunistic,6.747496475521324
19.0,Progressive,6.806650420841684
20.0,Progressive,6.796155270541082
20.0,Balanced,6.800526693386773
20.0,Opportunistic,6.732684334291073
20.0,Aggressive,6.4871495376294765
20.0,Conservative,7.158684689378759
21.0,Opportunistic,6.722881765458628
21.0,Progressive,6.788264088176353
21.0,Aggressive,6.461769329836938
21.0,Balanced,6.7894981963927865
21.0,Conservative,7.16756517034068
22.0,Aggressive,6.43972361019211
22.0,Conservative,7.175325611222445
22.0,Balanced,6.780566052104209
22.0,Progressive,6.774618637274549
22.0,Opportunistic,6.709247013062268
23.0,Aggressive,6.417539423233432
23.0,Conservative,7.183985811623246
23.0,Progressive,6.765759478957916
23.0,Balanced,6.770464849699399
23.0,Opportunistic,6.697031261720228
24.0,Progressive,6.757775511022044
24.0,Opportunistic,6.688076512704123
24.0,Balanced,6.760522157729112
24.0,Aggressive,6.396742863252059
24.0,Conservative,7.192166092184368
25.0,Conservative,7.199466012024049
