Time,strategy,avg_reputation
33.0,Progressive,6.974596596596597
33.0,Aggressive,6.947378738738739
33.0,Opportunistic,6.966894494494494
33.0,Conservative,7.00874
33.0,Balanced,6.976977335772648
34.0,Conservative,7.008640000000001
34.0,Opportunistic,6.966034334334335
34.0,Aggressive,6.945838738738738
34.0,Balanced,6.976477275672466
34.0,Progressive,6.973536156156158
35.0,Opportunistic,6.964714094094094
35.0,Aggressive,6.944838758758758
35.0,Progressive,6.972536076076077
35.0,Balanced,6.975597315752626
35.0,Conservative,7.008960000000001
36.0,Balanced,6.974497215692647
36.0,Aggressive,6.942718718718719
36.0,Conservative,7.009559999999999
36.0,Opportunistic,6.964093873873874
36.0,Progressive,6.971315595595595
37.0,Progressive,6.970675475475474
37.0,Balanced,6.973757055452247
37.0,Aggressive,6.941457857857857
37.0,Conservative,7.009740020020019
37.0,Opportunistic,6.9635134134134145
38.0,Balanced,6.972857015492448
38.0,Conservative,7.010100220220221
38.0,Aggressive,6.940196616616617
38.0,Progressive,6.969735435435435
38.0,Opportunistic,6.963013353353355
39.0,Balanced,6.972555914391347
39.0,Progressive,6.968935235235235
39.0,Opportunistic,6.962192372372373
39.0,Aggressive,6.938835655655655
39.0,Conservative,7.01046006006006
40.0,Aggressive,6.937335515515515
40.0,Balanced,6.971735934411368
40.0,Progressive,6.9685152152152146
40.0,Opportunistic,6.961152112112112
40.0,Conservative,7.010740100100099
41.0,Balanced,6.970975874271065
41.0,Aggressive,6.935935355355357
41.0,Opportunistic,6.96031203203203
41.0,Conservative,7.01080008008008
41.0,Progressive,6.967895175175175
42.0,Conservative,7.0108401001001
42.0,Opportunistic,6.959631831831831
42.0,Aggressive,6.934613513513514
42.0,Progressive,6.967055155155156
42.0,Balanced,6.970455774170965
43.0,Conservative,7.0113000600600595
43.0,Opportunistic,6.958671011011011
43.0,Aggressive,6.933233393393393
43.0,Progressive,6.966795255255256
43.0,Balanced,6.969834672989623
44.0,Aggressive,6.9319132932932925
44.0,Progressive,6.966335215215215
44.0,Balanced,6.9695544126491225
44.0,Opportunistic,6.95785061061061
44.0,Conservative,7.01146014014014
45.0,Opportunistic,6.956970109307705
45.0,Progressive,6.965435135135135
45.0,Aggressive,6.929472892892894
45.0,Balanced,6.9686943125490215
45.0,Conservative,7.01186012012012
46.0,Aggressive,6.927950047442231
46.0,Opportunistic,6.956230069267664
46.0,Balanced,6.96795407206806
46.0,Progressive,6.964735035035036
46.0,Conservative,7.01216016016016
47.0,Aggressive,6.926369867262051
47.0,Balanced,6.96697391186778
47.0,Conservative,7.01248018018018
47.0,Progressive,6.964234354354355
47.0,Opportunistic,6.955229728847083
48.0,Conservative,7.01240028028028
48.0,Balanced,6.96627387186786
48.0,Progressive,6.963874254254255
48.0,Aggressive,6.9247893865408505
48.0,Opportunistic,6.953969448606923
49.0,Opportunistic,6.952869088166321
49.0,Aggressive,6.922869146220369
49.0,Conservative,7.012640620620621
49.0,Progressive,6.963374254254253
49.0,Balanced,6.9656536516476395
50.0,Opportunistic,6.9520690081263625
50.0,Balanced,6.96477351146738
50.0,Aggressive,6.921387644638627
50.0,Conservative,7.01296068068068
50.0,Progressive,6.962873533533534
51.0,Opportunistic,6.951726685844161
51.0,Aggressive,6.919747564558545
51.0,Balanced,6.96377335130722
51.0,Conservative,7.013120660660661
51.0,Progressive,6.962113333333334
52.0,Progressive,6.961832732732732
52.0,Conservative,7.013220540540542
52.0,Balanced,6.963433251247239
52.0,Aggressive,6.917365942776444
52.0,Opportunistic,6.95088620524332
53.0,Conservative,7.013600520520519
53.0,Aggressive,6.915885842676342
53.0,Opportunistic,6.950004743821978
53.0,Balanced,6.962692950786458
53.0,Progressive,6.961411829986299
54.0,Aggressive,6.914322699452961
54.0,Balanced,6.9619720880800635
54.0,Progressive,6.960910647120066
54.0,Opportunistic,6.949384543661898
54.0,Conservative,7.014180540540541
55.0,Opportunistic,6.948404323361437
55.0,Aggressive,6.912902659453041
55.0,Conservative,7.014780680680681
55.0,Balanced,6.961570925554813
55.0,Progressive,6.959850406879826
56.0,Aggressive,6.911380457090357
56.0,Balanced,6.960949844473732
56.0,Opportunistic,6.947802538249673
56.0,Conservative,7.014920660660661
56.0,Progressive,6.959290266739685
57.0,Aggressive,6.909678434827614
57.0,Balanced,6.960328603312731
57.0,Progressive,6.958949786219085
57.0,Conservative,7.01560076076076
57.0,Opportunistic,6.947022318029451
58.0,Aggressive,6.907937934286992
58.0,Conservative,7.0156207607607595
58.0,Progressive,6.958489746098804
58.0,Balanced,6.9595284430322115
58.0,Opportunistic,6.9461019575888505
59.0,Conservative,7.015900780780782
59.0,Balanced,6.958366979003051
59.0,Progressive,6.9580498462791445
59.0,Aggressive,6.9064376740668525
59.0,Opportunistic,6.94492071618713
60.0,Aggressive,6.9041573737665525
60.0,Progressive,6.9571094254976416
60.0,Opportunistic,6.9441003756863084
60.0,Balanced,6.957726838662309
60.0,Conservative,7.0166209209209205
61.0,Progressive,6.956746542654879
61.0,Balanced,6.957166718502069
61.0,Aggressive,6.90217709348627
61.0,Conservative,7.016860860860862
61.0,Opportunistic,6.943518493724185
62.0,Opportunistic,6.942057892882864
62.0,Balanced,6.956506658361768
62.0,Conservative,7.017141021021021
62.0,Aggressive,6.900594566590638
62.0,Progressive,6.956004660853238
63.0,Opportunistic,6.940857552462282
63.0,Aggressive,6.899194186210259
63.0,Balanced,6.955745296839927
63.0,Conservative,7.0174810810810815
63.0,Progressive,6.955222957907808
64.0,Conservative,7.0179412012012
64.0,Opportunistic,6.940097152021761
64.0,Aggressive,6.897213585409056
64.0,Balanced,6.954865036379065
64.0,Progressive,6.954382537407145
65.0,Conservative,7.018461261261262
65.0,Progressive,6.9535610355846815
65.0,Balanced,6.953783632610566
65.0,Opportunistic,6.939234606951641
65.0,Aggressive,6.895847198942429
66.0,Opportunistic,6.9382542264509
66.0,Aggressive,6.894306958702189
66.0,Balanced,6.953123251909225
66.0,Progressive,6.952739992698108
66.0,Conservative,7.018561261261262
67.0,Balanced,6.952282951568804
67.0,Aggressive,6.892803915257942
67.0,Progressive,6.952318929631033
67.0,Opportunistic,6.937114066330858
67.0,Conservative,7.019001281281281
68.0,Progressive,6.951718126824219
68.0,Aggressive,6.8914581892914955
68.0,Balanced,6.951262511128363
68.0,Opportunistic,6.936173625810181
68.0,Conservative,7.019381301301301
69.0,Conservative,7.019761781781782
69.0,Opportunistic,6.935211503688057
69.0,Balanced,6.950199883161896
69.0,Progressive,6.951557165783018
69.0,Aggressive,6.890053164266471
70.0,Balanced,6.949597535716672
70.0,Aggressive,6.888870481503548
70.0,Opportunistic,6.934191123107074
70.0,Progressive,6.951297266043598
70.0,Conservative,7.020242743705629
71.0,Progressive,6.9505961026758225
71.0,Conservative,7.020802783705549
71.0,Opportunistic,6.933149498677035
71.0,Balanced,6.948695952850156
71.0,Aggressive,6.887467312803786
72.0,Opportunistic,6.932309098236512
72.0,Aggressive,6.885586511842505
72.0,Balanced,6.947974990284383
72.0,Conservative,7.02138274366551
72.0,Progressive,6.949974500632898
73.0,Balanced,6.9476350105453655
73.0,Opportunistic,6.931726952202703
73.0,Progressive,6.949154080132237
73.0,Aggressive,6.884045871201863
73.0,Conservative,7.0214826835252095
74.0,Opportunistic,6.930844602346883
74.0,Balanced,6.947034910405024
74.0,Progressive,6.948533037406145
74.0,Conservative,7.0219027235652485
74.0,Aggressive,6.88260519024034
75.0,Conservative,7.022323484446369
75.0,Progressive,6.947970791031512
75.0,Balanced,6.946414830365306
75.0,Opportunistic,6.929642660083736
75.0,Aggressive,6.881184429399341
76.0,Conservative,7.022743484446371
76.0,Progressive,6.947010330129729
76.0,Aggressive,6.879984008818439
76.0,Opportunistic,6.928681055753957
76.0,Balanced,6.946388940702199
77.0,Conservative,7.022663804686449
77.0,Aggressive,6.878320459658053
77.0,Opportunistic,6.927957906592772
77.0,Balanced,6.945588640000214
77.0,Progressive,6.946289046681952
78.0,Conservative,7.023103824706469
78.0,Aggressive,6.877135009317937
78.0,Balanced,6.945147258538713
78.0,Opportunistic,6.927336685451793
78.0,Progressive,6.945747484598827
79.0,Balanced,6.9443071384185915
79.0,Aggressive,6.875708322230047
79.0,Opportunistic,6.926234322728106
79.0,Conservative,7.023464725807973
79.0,Progressive,6.944987003757263
80.0,Opportunistic,6.925031419223277
80.0,Balanced,6.944027018298471
80.0,Aggressive,6.874207761669486
80.0,Conservative,7.023804886008252
80.0,Progressive,6.9445042951884295
81.0,Conservative,7.024305186428912
81.0,Balanced,6.943106336854903
81.0,Opportunistic,6.924091118882857
81.0,Progressive,6.943982951439508
81.0,Aggressive,6.872526660127061
82.0,Conservative,7.024665126368855
82.0,Aggressive,6.870725438263915
82.0,Opportunistic,6.923230497820671
82.0,Balanced,6.94226367342947
82.0,Progressive,6.943302048893676
83.0,Balanced,6.941983513309553
83.0,Opportunistic,6.922188372529166
83.0,Conservative,7.024985286529013
83.0,Aggressive,6.869313995558684
83.0,Progressive,6.942600462209093
84.0,Aggressive,6.8678903198809484
84.0,Conservative,7.025165346629194
84.0,Balanced,6.941762272389514
84.0,Opportunistic,6.921688011968206
84.0,Progressive,6.941859437732899
85.0,Conservative,7.025605386508753
85.0,Aggressive,6.8665240221601405
85.0,Balanced,6.941299769405328
85.0,Opportunistic,6.921024624693035
85.0,Progressive,6.941599016468988
86.0,Aggressive,6.8649570570612015
86.0,Balanced,6.940699107580092
86.0,Conservative,7.0263856468492545
86.0,Progressive,6.941178110980713
86.0,Opportunistic,6.919964083630689
87.0,Balanced,6.940374431458541
87.0,Aggressive,6.8634303584181895
87.0,Conservative,7.026705726969454
87.0,Progressive,6.940776342617828
87.0,Opportunistic,6.919220495272791
88.0,Conservative,7.0269658470093335
88.0,Progressive,6.940314135395999
88.0,Aggressive,6.861706236529182
88.0,Balanced,6.939872369276482
88.0,Opportunistic,6.918657867795737
89.0,Progressive,6.93963327308936
89.0,Opportunistic,6.918069889990695
89.0,Conservative,7.027245927169654
89.0,Balanced,6.939111808274476
89.0,Aggressive,6.860099410805318
90.0,Balanced,6.938949865608678
90.0,Conservative,7.027686107389956
90.0,Opportunistic,6.917309228647746
90.0,Progressive,6.938832250461353
90.0,Aggressive,6.858768127626572
91.0,Aggressive,6.856757801767377
91.0,Balanced,6.9386882005357045
91.0,Opportunistic,6.916185855119708
91.0,Conservative,7.028166367690336
91.0,Progressive,6.938171488374448
92.0,Aggressive,6.8551162984185305
92.0,Balanced,6.93806773951356
92.0,Progressive,6.93739102755351
92.0,Conservative,7.028706527890616
92.0,Opportunistic,6.915385253876699
93.0,Balanced,6.9369667579305325
93.0,Conservative,7.028906427790516
93.0,Aggressive,6.853552773931516
93.0,Opportunistic,6.914522506680485
93.0,Progressive,6.9367705068331125
94.0,Progressive,6.935907119474317
94.0,Balanced,6.936304234001746
94.0,Aggressive,6.852391691846826
94.0,Opportunistic,6.9139399997245095
94.0,Conservative,7.0292464878505765
95.0,Opportunistic,6.9132982726189445
95.0,Balanced,6.935884294463492
95.0,Progressive,6.934986457768717
95.0,Conservative,7.029747308751637
95.0,Aggressive,6.850907486397927
96.0,Conservative,7.0301488502931795
96.0,Balanced,6.9353037533603015
96.0,Aggressive,6.8496840128496626
96.0,Opportunistic,6.912237611356478
96.0,Progressive,6.934524655364144
97.0,Balanced,6.93448277137559
97.0,Progressive,6.933922531955997
97.0,Opportunistic,6.911555445303495
97.0,Conservative,7.030328930413379
97.0,Aggressive,6.848492726993603
98.0,Aggressive,6.847091002861764
98.0,Opportunistic,6.910894904281269
98.0,Progressive,6.933640365458672
98.0,Balanced,6.933580808167846
98.0,Conservative,7.0306490304332385
99.0,Aggressive,6.845766832684198
99.0,Conservative,7.030569010493458
99.0,Progressive,6.932139423916409
99.0,Balanced,6.932960307346141
99.0,Opportunistic,6.910294683980931
100.0,Conservative,7.030869410974098
100.0,Balanced,6.932858465544662
100.0,Opportunistic,6.909612060314939
100.0,Progressive,6.931257576121413
100.0,Aggressive,6.844774518395134
101.0,Aggressive,6.84370149982258
101.0,Balanced,6.93195728271601
101.0,Progressive,6.930356875140234
101.0,Opportunistic,6.908588766143726
101.0,Conservative,7.031569691294501
102.0,Progressive,6.929673364806624
102.0,Balanced,6.931235400272203
102.0,Aggressive,6.842215964665408
102.0,Opportunistic,6.907227583798697
102.0,Conservative,7.032570071715001
103.0,Progressive,6.9291919980614205
103.0,Aggressive,6.841053591035519
103.0,Conservative,7.032930191835122
103.0,Opportunistic,6.905925859748187
103.0,Balanced,6.930873498571145
104.0,Conservative,7.033350512516526
104.0,Progressive,6.928711295954215
104.0,Aggressive,6.839772168249165
104.0,Opportunistic,6.9050013251389855
104.0,Balanced,6.930211929846778
105.0,Balanced,6.9299906063990795
105.0,Progressive,6.928608146301202
105.0,Conservative,7.033610592636723
105.0,Opportunistic,6.9042007238157375
105.0,Aggressive,6.838788523320344
106.0,Balanced,6.928929624735329
106.0,Opportunistic,6.90333374379664
106.0,Progressive,6.927899703527739
106.0,Aggressive,6.837166478183843
106.0,Conservative,7.034150752877126
107.0,Aggressive,6.8358452559188905
107.0,Progressive,6.927157200222106
107.0,Opportunistic,6.902351053520842
107.0,Balanced,6.928948260726271
107.0,Conservative,7.0344517939582865
108.0,Balanced,6.92852641559505
108.0,Opportunistic,6.901628056374299
108.0,Aggressive,6.834340215023295
108.0,Progressive,6.926831922223138
108.0,Conservative,7.034892556163378
109.0,Balanced,6.927961980008735
109.0,Conservative,7.03515365882917
109.0,Opportunistic,6.900767535492333
109.0,Aggressive,6.832817948781266
109.0,Progressive,6.926231561621693
110.0,Conservative,7.0354357430777466
110.0,Opportunistic,6.899884647353453
110.0,Balanced,6.9274968918003355
110.0,Progressive,6.925668753400115
110.0,Aggressive,6.8310279607131905
111.0,Aggressive,6.829541069044981
111.0,Opportunistic,6.899062076152234
111.0,Balanced,6.926876510897426
111.0,Conservative,7.036035763137888
111.0,Progressive,6.924965167887979
112.0,Aggressive,6.8277386028835885
112.0,Opportunistic,6.898238906968976
112.0,Balanced,6.926255870620407
112.0,Conservative,7.036295983438349
112.0,Progressive,6.924283221810144
113.0,Conservative,7.036996464239791
113.0,Balanced,6.925395149941501
113.0,Aggressive,6.826373648663394
113.0,Progressive,6.923622360146515
113.0,Opportunistic,6.897192464643812
114.0,Balanced,6.925074327109342
114.0,Conservative,7.037396664560351
114.0,Aggressive,6.824651482682184
