Time,strategy,fog_count
0.0,Aggressive,50.0
0.0,Conservative,50.0
0.0,Opportunistic,50.0
0.0,Progressive,50.0
0.0,Balanced,50.0
1.0,Aggressive,49.94
1.0,Opportunistic,49.98
1.0,Conservative,50.0
1.0,Progressive,50.0
1.0,Balanced,49.96
2.0,Opportunistic,49.98
2.0,Progressive,49.88
2.0,Balanced,49.86
2.0,Conservative,49.98
2.0,Aggressive,49.72
3.0,Opportunistic,49.86
3.0,Conservative,49.98
3.0,Balanced,49.64
3.0,Progressive,49.64
3.0,Aggressive,49.1
4.0,Conservative,49.94
4.0,Opportunistic,49.7
4.0,Aggressive,47.92
4.0,Balanced,49.28
4.0,Progressive,49.26
5.0,Balanced,48.62
5.0,Aggressive,46.22
5.0,Progressive,48.76
5.0,Conservative,49.9
5.0,Opportunistic,49.52
6.0,Progressive,48.3
6.0,Balanced,48.04
6.0,Opportunistic,49.08
6.0,Conservative,49.86
6.0,Aggressive,44.12
7.0,Balanced,47.06
7.0,Conservative,49.76
7.0,Progressive,47.4
7.0,Opportunistic,48.5
7.0,Aggressive,41.86
8.0,Conservative,49.7
8.0,Aggressive,39.28
8.0,Progressive,46.48
8.0,Balanced,46.0
8.0,Opportunistic,47.7
9.0,Conservative,49.66
9.0,Opportunistic,47.0
9.0,Progressive,45.34
9.0,Balanced,44.56
9.0,Aggressive,36.22
10.0,Progressive,44.02
10.0,Opportunistic,46.28
10.0,Conservative,49.6
10.0,Aggressive,32.96
10.0,Balanced,43.2
11.0,Opportunistic,45.12
11.0,Conservative,49.52
11.0,Aggressive,30.02
11.0,Progressive,42.54
11.0,Balanced,41.68
12.0,Opportunistic,44.3
12.0,Aggressive,26.86
12.0,Progressive,40.76
12.0,Balanced,40.16
12.0,Conservative,49.42
13.0,Opportunistic,43.16
13.0,Progressive,38.88
13.0,Balanced,38.64
13.0,Aggressive,23.3
13.0,Conservative,49.34
14.0,Opportunistic,41.8
14.0,Conservative,49.24
14.0,Aggressive,20.18
14.0,Balanced,36.84
14.0,Progressive,36.82
15.0,Progressive,34.8
15.0,Opportunistic,40.3
15.0,Aggressive,17.28
15.0,Conservative,49.1
15.0,Balanced,35.14
16.0,Progressive,33.02
16.0,Balanced,33.26
16.0,Conservative,49.02
16.0,Opportunistic,39.04
16.0,Aggressive,14.54
17.0,Aggressive,12.04
17.0,Conservative,48.96
17.0,Opportunistic,37.78
17.0,Balanced,31.66
17.0,Progressive,31.26
18.0,Balanced,29.86
18.0,Conservative,48.82
18.0,Opportunistic,36.22
18.0,Progressive,29.26
18.0,Aggressive,10.0
19.0,Opportunistic,34.76
19.0,Conservative,48.62
19.0,Progressive,27.52
19.0,Aggressive,8.02
19.0,Balanced,28.1
20.0,Progressive,26.22
20.0,Aggressive,6.58
20.0,Balanced,26.4
20.0,Conservative,48.5
20.0,Opportunistic,33.68
21.0,Progressive,24.4
21.0,Opportunistic,32.1
21.0,Aggressive,5.24
21.0,Balanced,24.54
21.0,Conservative,48.32
22.0,Aggressive,4.26
22.0,Balanced,22.94
22.0,Progressive,23.04
22.0,Opportunistic,30.9
22.0,Conservative,48.2
23.0,Opportunistic,29.44
23.0,Balanced,21.3
23.0,Progressive,21.64
23.0,Conservative,48.12
23.0,Aggressive,3.44
24.0,Aggressive,2.68
24.0,Conservative,48.0
24.0,Opportunistic,28.14
24.0,Balanced,20.0
24.0,Progressive,20.4
25.0,Progressive,19.22
25.0,Opportunistic,26.8
25.0,Conservative,47.92
25.0,Aggressive,2.12
25.0,Balanced,18.48
26.0,Aggressive,1.76
26.0,Progressive,17.74
26.0,Opportunistic,25.26
26.0,Conservative,47.76
26.0,Balanced,16.94
27.0,Progressive,16.54
27.0,Opportunistic,23.98
27.0,Aggressive,1.42
27.0,Balanced,15.62
27.0,Conservative,47.62
28.0,Conservative,47.48
28.0,Aggressive,1.14
28.0,Opportunistic,22.74
28.0,Balanced,14.02
