Time,strategy,fog_count
0.0,Aggressive,500.0
0.0,Progressive,500.0
0.0,Balanced,500.0
0.0,Conservative,500.0
0.0,Opportunistic,500.0
1.0,Opportunistic,500.0
1.0,Conservative,500.0
1.0,Progressive,500.0
1.0,Aggressive,500.0
1.0,Balanced,500.0
2.0,Progressive,500.0
2.0,Balanced,500.0
2.0,Opportunistic,500.0
2.0,Conservative,500.0
2.0,Aggressive,500.0
3.0,Balanced,500.0
3.0,Opportunistic,500.0
3.0,Conservative,500.0
3.0,Progressive,500.0
3.0,Aggressive,500.0
4.0,Balanced,500.0
4.0,Aggressive,500.0
4.0,Conservative,500.0
4.0,Progressive,500.0
4.0,Opportunistic,500.0
5.0,Balanced,500.0
5.0,Conservative,500.0
5.0,Progressive,500.0
5.0,Opportunistic,500.0
5.0,Aggressive,500.0
6.0,Balanced,500.0
6.0,Conservative,500.0
6.0,Progressive,500.0
6.0,Aggressive,500.0
6.0,Opportunistic,500.0
7.0,Progressive,500.0
7.0,Balanced,500.0
7.0,Conservative,500.0
7.0,Opportunistic,500.0
7.0,Aggressive,499.96
8.0,Opportunistic,499.98
8.0,Balanced,500.0
8.0,Aggressive,499.92
8.0,Conservative,500.0
8.0,Progressive,499.98
9.0,Opportunistic,499.98
9.0,Conservative,500.0
9.0,Aggressive,499.9
9.0,Balanced,500.0
9.0,Progressive,499.98
10.0,Progressive,499.94
10.0,Opportunistic,499.98
10.0,Conservative,500.0
10.0,Aggressive,499.86
10.0,Balanced,500.0
11.0,Progressive,499.94
11.0,Opportunistic,499.96
11.0,Aggressive,499.84
11.0,Conservative,500.0
11.0,Balanced,500.0
12.0,Aggressive,499.82
12.0,Balanced,500.0
12.0,Progressive,499.94
12.0,Opportunistic,499.96
12.0,Conservative,500.0
13.0,Conservative,500.0
13.0,Aggressive,499.8
13.0,Balanced,500.0
13.0,Opportunistic,499.96
13.0,Progressive,499.94
14.0,Conservative,500.0
14.0,Opportunistic,499.92
14.0,Aggressive,499.78
14.0,Balanced,500.0
14.0,Progressive,499.94
15.0,Opportunistic,499.92
15.0,Aggressive,499.74
15.0,Balanced,500.0
15.0,Conservative,500.0
15.0,Progressive,499.92
16.0,Balanced,500.0
16.0,Aggressive,499.68
16.0,Conservative,500.0
16.0,Progressive,499.88
16.0,Opportunistic,499.92
17.0,Aggressive,499.6
17.0,Progressive,499.86
17.0,Opportunistic,499.92
17.0,Balanced,500.0
17.0,Conservative,500.0
18.0,Conservative,499.98
18.0,Aggressive,499.52
18.0,Balanced,500.0
18.0,Opportunistic,499.92
18.0,Progressive,499.82
19.0,Progressive,499.8
19.0,Aggressive,499.44
19.0,Conservative,499.98
19.0,Opportunistic,499.9
19.0,Balanced,499.98
20.0,Progressive,499.78
20.0,Aggressive,499.34
20.0,Conservative,499.98
20.0,Opportunistic,499.88
20.0,Balanced,499.96
21.0,Progressive,499.76
21.0,Conservative,499.98
21.0,Aggressive,499.26
21.0,Opportunistic,499.88
21.0,Balanced,499.94
22.0,Balanced,499.92
22.0,Aggressive,499.06
22.0,Opportunistic,499.86
22.0,Progressive,499.76
22.0,Conservative,499.98
23.0,Balanced,499.92
23.0,Opportunistic,499.8
23.0,Conservative,499.98
23.0,Progressive,499.72
23.0,Aggressive,498.94
24.0,Balanced,499.88
24.0,Opportunistic,499.78
24.0,Progressive,499.72
24.0,Aggressive,498.8
24.0,Conservative,499.98
25.0,Opportunistic,499.76
25.0,Balanced,499.86
25.0,Progressive,499.7
25.0,Aggressive,498.7
25.0,Conservative,499.98
26.0,Opportunistic,499.76
26.0,Aggressive,498.54
26.0,Progressive,499.68
26.0,Conservative,499.98
26.0,Balanced,499.82
27.0,Opportunistic,499.76
27.0,Balanced,499.78
27.0,Aggressive,498.44
27.0,Progressive,499.64
27.0,Conservative,499.98
28.0,Opportunistic,499.76
28.0,Conservative,499.98
28.0,Aggressive,498.32
28.0,Balanced,499.74
28.0,Progressive,499.62
29.0,Opportunistic,499.74
29.0,Conservative,499.98
29.0,Aggressive,498.2
29.0,Progressive,499.6
29.0,Balanced,499.66
30.0,Conservative,499.98
30.0,Opportunistic,499.74
30.0,Balanced,499.66
30.0,Aggressive,498.1
30.0,Progressive,499.52
31.0,Opportunistic,499.72
31.0,Aggressive,498.08
31.0,Progressive,499.5
31.0,Conservative,499.98
31.0,Balanced,499.56
32.0,Progressive,499.38
32.0,Opportunistic,499.72
32.0,Aggressive,497.92
32.0,Conservative,499.98
32.0,Balanced,499.48
33.0,Opportunistic,499.68
33.0,Aggressive,497.72
33.0,Balanced,499.4
33.0,Progressive,499.36
33.0,Conservative,499.98
34.0,Opportunistic,499.68
34.0,Balanced,499.38
34.0,Aggressive,497.58
34.0,Progressive,499.24
34.0,Conservative,499.98
35.0,Conservative,499.98
35.0,Balanced,499.3
35.0,Progressive,499.22
35.0,Opportunistic,499.68
35.0,Aggressive,497.5
36.0,Conservative,499.98
36.0,Aggressive,497.28
36.0,Progressive,499.18
36.0,Opportunistic,499.68
36.0,Balanced,499.26
37.0,Aggressive,497.1
37.0,Progressive,499.1
37.0,Balanced,499.2
37.0,Conservative,499.98
37.0,Opportunistic,499.64
38.0,Progressive,498.96
38.0,Opportunistic,499.64
38.0,Conservative,499.98
38.0,Balanced,499.12
38.0,Aggressive,496.98
39.0,Conservative,499.98
39.0,Progressive,498.86
39.0,Balanced,499.08
39.0,Aggressive,496.8
39.0,Opportunistic,499.64
40.0,Opportunistic,499.64
40.0,Aggressive,496.52
40.0,Balanced,499.0
40.0,Conservative,499.98
40.0,Progressive,498.74
41.0,Balanced,498.9
41.0,Conservative,499.98
41.0,Progressive,498.66
41.0,Aggressive,496.16
41.0,Opportunistic,499.62
42.0,Aggressive,495.86
42.0,Conservative,499.98
42.0,Opportunistic,499.6
42.0,Progressive,498.62
42.0,Balanced,498.86
43.0,Progressive,498.58
43.0,Aggressive,495.6
43.0,Opportunistic,499.54
43.0,Balanced,498.78
43.0,Conservative,499.98
44.0,Conservative,499.98
44.0,Balanced,498.68
44.0,Progressive,498.5
44.0,Opportunistic,499.48
44.0,Aggressive,495.26
45.0,Conservative,499.98
45.0,Progressive,498.44
45.0,Opportunistic,499.48
45.0,Aggressive,494.82
45.0,Balanced,498.58
46.0,Conservative,499.98
46.0,Progressive,498.36
46.0,Aggressive,494.52
46.0,Balanced,498.52
46.0,Opportunistic,499.4
47.0,Opportunistic,499.3
47.0,Conservative,499.98
47.0,Progressive,498.22
47.0,Balanced,498.42
47.0,Aggressive,494.24
48.0,Progressive,498.14
48.0,Balanced,498.32
48.0,Opportunistic,499.3
48.0,Conservative,499.98
48.0,Aggressive,494.02
49.0,Opportunistic,499.3
49.0,Aggressive,493.76
49.0,Balanced,498.24
49.0,Progressive,497.96
49.0,Conservative,499.98
50.0,Progressive,497.88
50.0,Opportunistic,499.3
50.0,Conservative,499.98
50.0,Aggressive,493.46
50.0,Balanced,498.18
51.0,Balanced,498.0
51.0,Aggressive,493.12
51.0,Conservative,499.98
51.0,Opportunistic,499.28
51.0,Progressive,497.7
52.0,Progressive,497.64
52.0,Aggressive,492.76
52.0,Balanced,497.88
52.0,Conservative,499.98
52.0,Opportunistic,499.22
53.0,Aggressive,492.38
53.0,Progressive,497.58
53.0,Opportunistic,499.18
53.0,Conservative,499.96
53.0,Balanced,497.76
54.0,Conservative,499.94
54.0,Progressive,497.38
54.0,Aggressive,492.02
54.0,Opportunistic,499.12
54.0,Balanced,497.6
55.0,Conservative,499.94
55.0,Balanced,497.42
55.0,Progressive,497.24
55.0,Aggressive,491.66
55.0,Opportunistic,499.1
56.0,Progressive,497.14
56.0,Conservative,499.94
56.0,Balanced,497.36
56.0,Opportunistic,499.04
56.0,Aggressive,491.16
57.0,Balanced,497.32
57.0,Conservative,499.94
57.0,Progressive,497.06
57.0,Aggressive,490.72
57.0,Opportunistic,498.96
58.0,Balanced,497.16
58.0,Aggressive,490.36
58.0,Progressive,496.94
58.0,Opportunistic,498.9
58.0,Conservative,499.94
59.0,Progressive,496.84
59.0,Conservative,499.92
59.0,Opportunistic,498.86
59.0,Balanced,497.06
59.0,Aggressive,489.9
60.0,Conservative,499.92
60.0,Progressive,496.7
60.0,Aggressive,489.42
60.0,Opportunistic,498.8
60.0,Balanced,496.88
61.0,Conservative,499.92
61.0,Opportunistic,498.72
61.0,Progressive,496.52
61.0,Balanced,496.76
61.0,Aggressive,489.04
62.0,Progressive,496.3
62.0,Opportunistic,498.66
62.0,Balanced,496.6
62.0,Conservative,499.9
62.0,Aggressive,488.7
63.0,Balanced,496.48
63.0,Opportunistic,498.58
63.0,Conservative,499.88
63.0,Aggressive,487.98
63.0,Progressive,496.18
64.0,Balanced,496.3
64.0,Opportunistic,498.5
64.0,Conservative,499.88
64.0,Aggressive,487.42
64.0,Progressive,496.06
65.0,Aggressive,486.76
65.0,Opportunistic,498.48
65.0,Conservative,499.88
65.0,Progressive,495.9
65.0,Balanced,496.18
66.0,Aggressive,486.2
66.0,Conservative,499.88
66.0,Progressive,495.8
66.0,Balanced,496.04
66.0,Opportunistic,498.42
67.0,Opportunistic,498.4
67.0,Balanced,495.7
67.0,Conservative,499.88
67.0,Aggressive,485.66
67.0,Progressive,495.62
68.0,Aggressive,485.1
68.0,Opportunistic,498.36
68.0,Balanced,495.38
68.0,Conservative,499.88
68.0,Progressive,495.48
69.0,Balanced,495.18
69.0,Progressive,495.28
69.0,Conservative,499.86
69.0,Aggressive,484.48
69.0,Opportunistic,498.28
70.0,Balanced,494.88
70.0,Progressive,495.14
70.0,Conservative,499.86
70.0,Aggressive,483.86
70.0,Opportunistic,498.24
71.0,Opportunistic,498.08
71.0,Aggressive,483.14
71.0,Conservative,499.86
71.0,Progressive,495.04
71.0,Balanced,494.82
72.0,Opportunistic,498.06
72.0,Balanced,494.7
72.0,Aggressive,482.6
72.0,Progressive,494.8
72.0,Conservative,499.86
73.0,Opportunistic,498.0
73.0,Progressive,494.66
73.0,Conservative,499.84
73.0,Balanced,494.62
73.0,Aggressive,482.04
74.0,Balanced,494.46
74.0,Aggressive,481.38
74.0,Opportunistic,497.9
74.0,Conservative,499.8
74.0,Progressive,494.5
75.0,Progressive,494.32
75.0,Aggressive,480.96
75.0,Conservative,499.8
75.0,Balanced,494.2
75.0,Opportunistic,497.84
76.0,Aggressive,480.22
76.0,Progressive,494.1
76.0,Conservative,499.78
76.0,Opportunistic,497.74
76.0,Balanced,493.86
77.0,Aggressive,479.44
77.0,Conservative,499.78
77.0,Opportunistic,497.62
77.0,Balanced,493.68
77.0,Progressive,493.88
78.0,Conservative,499.76
78.0,Progressive,493.7
78.0,Aggressive,478.7
78.0,Balanced,493.34
78.0,Opportunistic,497.52
79.0,Progressive,493.52
79.0,Aggressive,478.06
79.0,Opportunistic,497.4
79.0,Balanced,493.14
79.0,Conservative,499.76
80.0,Opportunistic,497.28
80.0,Progressive,493.3
80.0,Conservative,499.76
80.0,Aggressive,477.2
80.0,Balanced,492.76
81.0,Opportunistic,497.22
81.0,Progressive,493.18
81.0,Conservative,499.76
81.0,Aggressive,476.66
81.0,Balanced,492.62
82.0,Conservative,499.76
82.0,Balanced,492.42
82.0,Progressive,492.98
82.0,Aggressive,475.96
82.0,Opportunistic,497.08
83.0,Balanced,492.28
83.0,Conservative,499.74
83.0,Progressive,492.78
83.0,Opportunistic,496.92
