Time,strategy,fog_count,avg_reputation,avg_profit,avg_honesty,audit_type,audit_result
0,Aggressive,1000,7,0,nan
0,Conservative,1000,7,0,nan
0,Balanced,1000,7,0,nan
0,Cyclic,1000,7,0,nan
0,Opportunistic,1000,7,0,nan
0.0009936511606386932,Conservative,1000,6.997,-0.0010663397474761113,0.8276747201992836,False,False
0.003709355515536445,Opportunistic,1000,6.997,-0.0010320376078276077,0.4169582174287336,False,False
0.008422639648234299,Balanced,1000,7.001,9.814309894160456e-05,0.5038547354292787,False,True
0.011514412599311106,Aggressive,1000,6.997,-0.0010204881455672314,0.1681932713111903,False,False
0.013314413294524041,Opportunistic,1000,6.994,-0.0020721447285951423,0.41737303103581075,False,False
0.03524850778362397,Opportunistic,1000,6.995,-0.001996189353619565,0.4176339994169481,False,True
0.04741069123446684,Opportunistic,1000,6.992,-0.003032383334985937,0.41739622546673577,False,False
0.04817582457132131,Balanced,1000,6.998,-0.000951462733625271,0.5039207751869705,False,False
0.05251610131814484,Cyclic,1000,7.001,9.786909680749555e-05,0.1659879893252762,False,True
0.06094365092514903,Aggressive,1000,6.994,-0.002026769473024877,0.1683308254491424,False,False
0.06630818074498168,Conservative,1000,6.998,-0.001003263172935494,0.8279415893062355,False,True
0.0680683805384413,Aggressive,1000,6.991,-0.0030289614621755775,0.16847065000688138,False,False
0.06974335301703084,Conservative,1000,6.999,-0.0009688018645607617,0.8279957728696734,False,True
0.10502543537878953,Opportunistic,1000,6.989,-0.004101112720554877,0.4176299873537052,False,False
0.10772726057883242,Cyclic,1000,6.998,-0.000912807000591668,0.16575993334212935,False,False
0.10810151186442074,Aggressive,1000,6.988,-0.004040492297636125,0.1684787510340102,False,False
0.10883377347658696,Aggressive,1000,6.985,-0.005051094070524648,0.16858401194231884,False,False
0.10885598019812093,Balanced,1000,6.995,-0.0019770547001600348,0.5041642519555245,False,False
0.10925391073415852,Cyclic,1000,6.995,-0.001920817447886087,0.16576991410590974,False,False
0.11616633546953185,Conservative,1000,7.0,-0.0009325387598772145,0.8279855465888593,False,True
0.12096046642413073,Cyclic,1000,6.992,-0.0029268829876557775,0.16579178752141302,False,False
0.12120272986490356,Cyclic,1000,6.993,-0.002822737867093127,0.16592657673033576,False,True
0.12390664859638824,Cyclic,1000,6.99,-0.0038267410861162502,0.16572802294457228,False,False
0.13060507709369648,Cyclic,1000,6.987,-0.004836831405776973,0.1659218853516871,False,False
0.1360728822509882,Balanced,1000,6.996,-0.0019272365854963204,0.5045273043155788,False,True
0.1370443411092704,Opportunistic,1000,6.986,-0.005142369637245491,0.417666267581007,False,False
0.13948530075462315,Cyclic,1000,6.984,-0.005845771095783329,0.16597210824123868,False,False
0.1406360277104259,Balanced,1000,6.997,-0.0018572528531277585,0.50411117615648,False,True
0.14171083613221935,Balanced,1000,6.994,-0.0029014774991627146,0.5038645825624802,False,False
0.1528145980708218,Opportunistic,1000,6.983,-0.006187258534400002,0.4180468594589013,False,False
0.15314874518748742,Opportunistic,1000,6.98,-0.007229996180423272,0.4183414914237776,False,False
0.15434909886523904,Cyclic,1000,6.981,-0.006851935513960599,0.16599044323467926,False,False
0.17121562372533997,Conservative,1000,7.001,-0.0008968200352663613,0.827948358479873,False,True
0.20476093130130374,Balanced,1000,6.991,-0.003977806308505207,0.5038372729181756,False,False
0.2090604200515981,Opportunistic,1000,6.977,-0.008290595178368864,0.4185071316316928,False,False
0.22320589940347083,Balanced,1000,6.988,-0.005009360609950476,0.5035661767323615,False,False
0.22858891038095724,Aggressive,1000,6.982,-0.006059796676938062,0.16848690417766823,False,False
0.24715542602582644,Opportunistic,1000,6.978,-0.00821110032694513,0.41850652779640585,False,True
0.25357276316849314,Cyclic,1000,6.978,-0.007856695484248173,0.16601482052168023,False,False
0.2594825465725437,Aggressive,1000,6.979,-0.007066603799305469,0.16874675338124598,False,False
0.27596945481802787,Balanced,1000,6.985,-0.006049179679376889,0.5038426633751335,True,False
0.28414279984018526,Balanced,1000,6.982,-0.007103121679217079,0.5037302761648049,False,False
0.2978562628817984,Opportunistic,1000,6.979,-0.008129801266532169,0.4183070084810079,False,True
0.3226979503650376,Cyclic,1000,6.975,-0.008877441936330669,0.16630939461853092,False,False
0.325608766232859,Conservative,1000,7.002,-0.0008568170440774488,0.827845670925992,False,True
0.3409195817557796,Cyclic,1000,6.972,-0.009893570096531195,0.16627841423597625,False,False
0.34387278466513566,Opportunistic,1000,6.98,-0.008028785167849566,0.4181540021171749,False,True
0.3810521267287182,Conservative,1000,6.999,-0.0019267769670145984,0.8276817740806615,True,False
0.39535896435172624,Opportunistic,1000,6.977,-0.009088764448665913,0.4183510422843616,False,False
0.3976576868533196,Conservative,1000,6.996,-0.0030015199958230284,0.8278572619319899,False,False
0.4090010569705013,Opportunistic,1000,6.974,-0.010101580793864104,0.41868044781663066,False,False
0.41685782653250775,Balanced,1000,6.983,-0.007042582445140766,0.503515543346868,False,True
0.4252315225744143,Conservative,1000,6.993,-0.004084910335847037,0.8279031660426133,False,False
0.42728110070233427,Balanced,1000,6.98,-0.008091409753178942,0.5031455553543632,False,False
0.4438323987554934,Opportunistic,1000,6.971,-0.011123234128683357,0.4192659651541334,False,False
0.4495369129610948,Aggressive,1000,6.976,-0.008069395724276774,0.168731810257858,False,False
0.4516923519852851,Conservative,1000,6.994,-0.004031782292624715,0.8279308748126004,False,True
0.4699540682283224,Balanced,1000,6.977,-0.009137654378109768,0.5030859473480136,False,False
0.47326099239841624,Opportunistic,1000,6.968,-0.012170802070992665,0.4198728902031938,False,False
0.47333215599293005,Cyclic,1000,6.969,-0.010914695624744326,0.16619077220280465,True,False
0.4787205115573891,Conservative,1000,6.995,-0.003982220360012266,0.8278968204009306,False,True
0.4891661506120791,Cyclic,1000,6.966,-0.01192948433500096,0.16644173772200196,False,False
0.4970226120088643,Opportunistic,1000,6.969,-0.012084782245314002,0.4198638799837603,False,True
