Time,strategy,avg_reliability
1.6,Opportunistic,0.6193522852852853
1.6,Progressive,0.6152185380380379
1.6,Balanced,0.6205730630630631
1.65,Conservative,0.626427533033033
1.65,Progressive,0.61492102002002
1.65,Opportunistic,0.6191852682682683
1.65,Aggressive,0.6153709220196562
1.65,Balanced,0.620422562062062
1.7,Progressive,0.614680496996997
1.7,Conservative,0.6264390355355355
1.7,Opportunistic,0.6189447512512513
1.7,Aggressive,0.6151027002467299
1.7,Balanced,0.6202438473473473
1.75,Conservative,0.6264740355355355
1.75,Balanced,0.6201050995995997
1.75,Opportunistic,0.6187417427427427
1.75,Progressive,0.6144304739739739
1.75,Aggressive,0.614857516011341
1.8,Balanced,0.6199455815815816
1.8,Opportunistic,0.6185727257257257
1.8,Conservative,0.626471038038038
1.8,Progressive,0.6141466831831832
1.8,Aggressive,0.6145495245027983
1.85,Progressive,0.6138896516516517
1.85,Balanced,0.619859571071071
1.85,Conservative,0.626531038038038
1.85,Opportunistic,0.6183807197197198
1.85,Aggressive,0.6143234184628907
1.9,Balanced,0.6197800565565565
1.9,Opportunistic,0.6181315730730731
1.9,Aggressive,0.6140866171104361
1.9,Conservative,0.626584538038038
1.9,Progressive,0.6135405665665665
1.95,Progressive,0.6132920235235235
1.95,Opportunistic,0.6179125645645646
1.95,Balanced,0.6196765555555556
1.95,Conservative,0.6266330405405405
1.95,Aggressive,0.6137810569309156
2.0,Opportunistic,0.617727041041041
2.0,Aggressive,0.6134133716463451
2.0,Progressive,0.6130376906736396
2.0,Balanced,0.6195825365365366
2.0,Conservative,0.6266390405405405
2.05,Aggressive,0.6131510146359257
2.05,Progressive,0.612749158141107
2.05,Balanced,0.6193978608608609
2.05,Opportunistic,0.6176070435435436
2.05,Conservative,0.6267325405405405
2.1,Balanced,0.6191978428428428
2.1,Progressive,0.6123635359848827
2.1,Aggressive,0.6127293202881687
2.1,Opportunistic,0.617403029029029
2.1,Conservative,0.6267840405405405
2.15,Conservative,0.626805543043043
2.15,Opportunistic,0.6173108468468468
2.15,Aggressive,0.6125389919718915
2.15,Balanced,0.6190911966966965
2.15,Progressive,0.6121909904052348
2.2,Balanced,0.6189356911911912
2.2,Progressive,0.6119003933081377
2.2,Opportunistic,0.6171468113113112
2.2,Aggressive,0.6122418392560495
2.2,Conservative,0.6267935480480481
2.25,Opportunistic,0.6169527942942943
2.25,Progressive,0.6116052511659956
2.25,Aggressive,0.6120182020647499
2.25,Conservative,0.626863048048048
2.25,Balanced,0.618799151151151
2.3,Progressive,0.6112285444251867
2.3,Aggressive,0.6117333171413897
2.3,Balanced,0.6186621136136136
2.3,Opportunistic,0.6167407797797798
2.3,Conservative,0.6268705445445445
2.35,Opportunistic,0.6165232822822823
2.35,Aggressive,0.611384274830418
2.35,Balanced,0.6185215675675676
2.35,Progressive,0.6109379448255872
2.35,Conservative,0.6269210495495495
2.4,Opportunistic,0.6163737702702703
2.4,Conservative,0.6269130520520521
2.4,Balanced,0.618301012012012
2.4,Progressive,0.6107030144001717
2.4,Aggressive,0.6110076974312368
2.45,Conservative,0.626922552052052
2.45,Balanced,0.6181983048048049
2.45,Opportunistic,0.6163050665665666
2.45,Aggressive,0.6106285076281349
2.45,Progressive,0.6104057041339936
2.5,Balanced,0.617981017017017
2.5,Opportunistic,0.6161848533533534
2.5,Progressive,0.6101473868166764
2.5,Aggressive,0.6104098783584309
2.5,Conservative,0.626980552052052
2.55,Opportunistic,0.6160531426426427
2.55,Aggressive,0.6101106990748876
2.55,Progressive,0.6099182170055827
2.55,Conservative,0.627008052052052
2.55,Balanced,0.617824463963964
2.6,Opportunistic,0.6158666211211211
2.6,Progressive,0.6096495698463995
2.6,Conservative,0.627030552052052
2.6,Aggressive,0.6098405623168509
2.6,Balanced,0.6177063263263263
2.65,Aggressive,0.609557721461968
2.65,Conservative,0.6270570520520521
2.65,Balanced,0.6175192977977978
2.65,Opportunistic,0.615715563063063
2.65,Progressive,0.6093509902698289
2.7,Conservative,0.627068057057057
2.7,Balanced,0.6173952707707707
2.7,Aggressive,0.6091934650401644
2.7,Opportunistic,0.6155693833833833
2.7,Progressive,0.6091686212066383
2.75,Progressive,0.6089250220734369
2.75,Conservative,0.6271740570570571
2.75,Balanced,0.6173067617617618
2.75,Aggressive,0.6089298466343692
2.75,Opportunistic,0.6153488823823823
2.8,Conservative,0.627185051051051
2.8,Progressive,0.6085463127638908
2.8,Aggressive,0.6086851737850436
2.8,Balanced,0.617188074206471
2.8,Opportunistic,0.6150928523523524
2.85,Balanced,0.6170899057343917
2.85,Conservative,0.627208045045045
2.85,Aggressive,0.6083293893391726
2.85,Opportunistic,0.6150135970970971
2.85,Progressive,0.608273108479446
2.9,Opportunistic,0.6148295865865865
2.9,Aggressive,0.6080387582321378
2.9,Balanced,0.6169403531968843
2.9,Conservative,0.6272720450450451
2.9,Progressive,0.6079544226622638
2.95,Aggressive,0.6077287017826465
2.95,Balanced,0.6168121309626259
2.95,Conservative,0.6273055450450451
2.95,Opportunistic,0.6146600335335335
2.95,Progressive,0.607683465011226
3.0,Progressive,0.6073573247205988
3.0,Conservative,0.6273525390390391
3.0,Balanced,0.6166635663860253
3.0,Opportunistic,0.6145131781781782
3.0,Aggressive,0.6074144734059732
3.05,Aggressive,0.6071128722274354
3.05,Conservative,0.627404544044044
3.05,Balanced,0.6164894791194
3.05,Progressive,0.6070711158834688
3.05,Opportunistic,0.6143211446446446
3.1,Progressive,0.6067504571665845
3.1,Conservative,0.627414038038038
3.1,Aggressive,0.6068180972459385
3.1,Opportunistic,0.6141163823823823
3.1,Balanced,0.6163694485718182
3.15,Progressive,0.6064097618670403
3.15,Conservative,0.6274355405405404
3.15,Opportunistic,0.6139301306135795
3.15,Balanced,0.6162837174067854
3.15,Aggressive,0.6064708769609112
3.2,Aggressive,0.6061888536762723
3.2,Progressive,0.6061458200885884
3.2,Conservative,0.6274710345345346
3.2,Balanced,0.6161263434697222
3.2,Opportunistic,0.6137080860690349
3.25,Opportunistic,0.6135625174713791
3.25,Progressive,0.6059670234050368
3.25,Balanced,0.6159557573154316
3.25,Conservative,0.6275020345345346
3.25,Aggressive,0.6059586788118905
3.3,Opportunistic,0.6133999959498576
3.3,Progressive,0.6057695993828635
3.3,Conservative,0.6275190370370372
3.3,Balanced,0.6158479449960983
3.3,Aggressive,0.6056869982882342
3.35,Balanced,0.6156318924365247
3.35,Aggressive,0.6054135761056597
3.35,Progressive,0.6054085923807117
3.35,Opportunistic,0.6132402221760839
3.35,Conservative,0.627571537037037
3.4,Balanced,0.6155051652072915
3.4,Conservative,0.6276065395395395
3.4,Opportunistic,0.613010451949946
3.4,Progressive,0.6050345046023625
3.4,Aggressive,0.6051486668052198
3.45,Conservative,0.6276510395395395
3.45,Balanced,0.6153957187879262
3.45,Opportunistic,0.6128789379188808
3.45,Aggressive,0.6048890040725583
3.45,Progressive,0.6047818388392
3.5,Conservative,0.627634036036036
3.5,Balanced,0.6153212163004688
3.5,Aggressive,0.6046393616471266
3.5,Opportunistic,0.612662697171119
3.5,Progressive,0.6045886605566577
3.55,Conservative,0.6276375360360361
3.55,Aggressive,0.604205532600543
3.55,Balanced,0.6152311512183526
3.55,Progressive,0.6043463921047819
3.55,Opportunistic,0.6124871315935174
3.6,Balanced,0.6151221327249092
3.6,Opportunistic,0.6123543312761659
3.6,Conservative,0.6276850385385385
3.6,Progressive,0.6039665946519159
3.6,Aggressive,0.6038636617190047
3.65,Aggressive,0.6035593401396386
3.65,Balanced,0.6149885876658222
3.65,Opportunistic,0.6121077286103739
3.65,Conservative,0.6276621101101101
3.65,Progressive,0.6036839955708195
3.7,Balanced,0.6148345310771693
3.7,Opportunistic,0.6119707617798159
3.7,Conservative,0.6276981176176176
3.7,Aggressive,0.6033617802166191
3.7,Progressive,0.6033948512960693
3.75,Conservative,0.6277472047047047
3.75,Aggressive,0.6031421383860427
3.75,Balanced,0.6147219654524264
3.75,Opportunistic,0.6118047438219782
3.75,Progressive,0.6030362339224198
3.8,Progressive,0.602874105759286
3.8,Conservative,0.6277526986986987
3.8,Balanced,0.6145852329040156
3.8,Opportunistic,0.6116331747408732
3.8,Aggressive,0.6028795922272375
3.85,Conservative,0.6277292037037038
3.85,Opportunistic,0.6114263198448949
3.85,Balanced,0.6144996933745062
3.85,Progressive,0.6026033667827109
3.85,Aggressive,0.602674724496017
3.9,Conservative,0.6277342087087087
3.9,Opportunistic,0.6112952602532392
3.9,Aggressive,0.6024309170615486
3.9,Balanced,0.6143319060199811
3.9,Progressive,0.6023632876656753
3.95,Progressive,0.6020901013074951
3.95,Opportunistic,0.6111466575754111
3.95,Conservative,0.6278197112112112
3.95,Balanced,0.614211148781781
3.95,Aggressive,0.6021013999098543
4.0,Aggressive,0.6018740912240108
4.0,Progressive,0.6017577778079876
4.0,Opportunistic,0.6110176290609247
4.0,Balanced,0.6140775079996138
4.0,Conservative,0.6278737077077077
4.05,Opportunistic,0.6108854797533003
4.05,Aggressive,0.60160625112432
4.05,Progressive,0.6015059670790763
4.05,Conservative,0.6279182172172173
4.05,Balanced,0.6139564218452719
4.1,Aggressive,0.6013379420099476
4.1,Progressive,0.6012660671021807
4.1,Opportunistic,0.610681369609088
4.1,Conservative,0.6279662087087087
4.1,Balanced,0.6138401201026776
4.15,Conservative,0.6279592137137137
4.15,Balanced,0.6137257842086161
4.15,Progressive,0.6009896666018938
4.15,Opportunistic,0.6104939599900502
4.15,Aggressive,0.601063466768173
4.2,Balanced,0.6135556278999152
4.2,Progressive,0.6006621549061133
4.2,Aggressive,0.6007564981967998
4.2,Opportunistic,0.6102830540821382
4.2,Conservative,0.6279547102102102
4.25,Balanced,0.6132844195903672
4.25,Aggressive,0.6005272178443902
4.25,Conservative,0.6279387062062063
4.25,Progressive,0.6004103229690233
4.25,Opportunistic,0.6100697261710608
4.3,Progressive,0.6000291758839842
4.3,Opportunistic,0.6097790669657632
4.3,Balanced,0.6132074546595044
4.3,Aggressive,0.6003740109008018
4.3,Conservative,0.6279327112112112
4.35,Progressive,0.5997738477420522
4.35,Opportunistic,0.6095489753531086
4.35,Aggressive,0.600067631838261
4.35,Balanced,0.6131154096185015
4.35,Conservative,0.6280087052052052
4.4,Balanced,0.6129247553529624
4.4,Conservative,0.6280437607607607
4.4,Progressive,0.5995690620580568
4.4,Opportunistic,0.6093552218761847
4.4,Aggressive,0.5998112127644974
4.45,Balanced,0.612735302374883
4.45,Aggressive,0.5995599629560366
4.45,Opportunistic,0.6092041717900265
4.45,Progressive,0.5993138048815413
4.45,Conservative,0.6281127487487488
4.5,Aggressive,0.599329655938676
4.5,Progressive,0.5990718230209812
4.5,Opportunistic,0.609075881470649
4.5,Conservative,0.6282112637637638
4.5,Balanced,0.6125773638120716
4.55,Conservative,0.6283052597597597
4.55,Progressive,0.5987081052226242
4.55,Opportunistic,0.6088395514492448
4.55,Aggressive,0.5991086057457828
4.55,Balanced,0.6124423338919509
4.6,Progressive,0.5984807718371943
4.6,Balanced,0.612375323899995
4.6,Opportunistic,0.6086479989007042
4.6,Aggressive,0.5988660446169702
4.6,Conservative,0.6283787647647647
4.65,Progressive,0.5981807676427582
4.65,Balanced,0.6122147022041449
4.65,Aggressive,0.5986274851420246
4.65,Opportunistic,0.6084803752169002
4.65,Conservative,0.6284772722722723
4.7,Opportunistic,0.6083697658039545
4.7,Progressive,0.5979328422191401
4.7,Aggressive,0.5982901038640984
4.7,Balanced,0.6120571210608562
4.7,Conservative,0.6284887822822823
4.75,Conservative,0.6285417667667668
4.75,Progressive,0.5975913337481848
4.75,Balanced,0.6119298490405821
4.75,Opportunistic,0.6081952867918401
4.75,Aggressive,0.5979652380840428
4.8,Progressive,0.5973498902547771
4.8,Balanced,0.6117706806334294
4.8,Conservative,0.6285757692692693
4.8,Opportunistic,0.6080030085618289
4.8,Aggressive,0.5977968975543462
4.85,Opportunistic,0.6078298677666527
4.85,Balanced,0.6117056170734473
4.85,Conservative,0.6286222792792793
4.85,Progressive,0.597036770508447
4.85,Aggressive,0.5975078103315188
4.9,Progressive,0.596738204042039
4.9,Aggressive,0.5972896771011027
4.9,Opportunistic,0.6076515682406195
4.9,Conservative,0.6286692907907908
4.9,Balanced,0.611536295180282
4.95,Progressive,0.596538380583882
4.95,Balanced,0.6113753946121679
4.95,Aggressive,0.5969167822559573
4.95,Opportunistic,0.6075003918094531
4.95,Conservative,0.6287197922922924
5.0,Aggressive,0.5967190162945116
5.0,Balanced,0.6112594820624069
5.0,Progressive,0.5962797439219197
5.0,Conservative,0.6288027997997997
5.0,Opportunistic,0.6073955995581816
5.05,Progressive,0.59604256395862
5.05,Aggressive,0.596434350530159
5.05,Opportunistic,0.6071697639870681
5.05,Conservative,0.6288297987987989
5.05,Balanced,0.6112109535268725
5.1,Conservative,0.6288418063063063
5.1,Aggressive,0.5962374480167495
5.1,Balanced,0.6110703779202037
5.1,Opportunistic,0.6070258456669082
5.1,Progressive,0.5957429595867768
5.15,Conservative,0.6288473088088089
5.15,Progressive,0.5954918504318578
5.15,Opportunistic,0.6068768656548773
5.15,Balanced,0.6108917326124415
5.15,Aggressive,0.5960348883636086
5.2,Opportunistic,0.6066957724172998
5.2,Balanced,0.610742624489379
5.2,Conservative,0.6288519704704705
5.2,Progressive,0.5952491862736852
5.2,Aggressive,0.5957273105020217
5.25,Aggressive,0.5953332375191099
5.25,Balanced,0.6106619821675324
5.25,Conservative,0.628897987987988
5.25,Opportunistic,0.6065892181634572
5.25,Progressive,0.5950129785208894
5.3,Opportunistic,0.6063770007425421
5.3,Aggressive,0.595059124736055
5.3,Balanced,0.6105884606671192
5.3,Conservative,0.6289560030030029
5.3,Progressive,0.5947974842801864
5.35,Aggressive,0.594790716086964
5.35,Balanced,0.6104172691167631
5.35,Progressive,0.5945543961792613
5.35,Opportunistic,0.6062083269173119
5.35,Conservative,0.629012507007007
5.4,Balanced,0.610353722056692
5.4,Conservative,0.6290875245245244
5.4,Aggressive,0.5944967643993398
5.4,Opportunistic,0.6060432848241435
5.4,Progressive,0.5943042582562028
5.45,Opportunistic,0.6057985678976202
5.45,Conservative,0.6290690095095095
5.45,Progressive,0.5939800509781328
5.45,Balanced,0.6101617256107992
5.45,Aggressive,0.5942946752786926
5.5,Conservative,0.6291525135135134
5.5,Progressive,0.5937581093687622
5.5,Balanced,0.6100187177427259
5.5,Aggressive,0.5939387960980753
5.5,Opportunistic,0.605537906552601
5.55,Conservative,0.62922051001001
5.55,Balanced,0.6098851214932091
5.55,Opportunistic,0.6053296455158019
5.55,Progressive,0.5935936415474433
5.55,Aggressive,0.5936003693262777
5.6,Opportunistic,0.6051321262018596
5.6,Conservative,0.6292350055055055
5.6,Progressive,0.5933596141470548
5.6,Balanced,0.609809020445928
5.6,Aggressive,0.5932511551113162
5.65,Conservative,0.629297508008008
5.65,Aggressive,0.5929635255778226
5.65,Progressive,0.5930313118250397
5.65,Balanced,0.6096694047630566
5.65,Opportunistic,0.6050165420274477
5.7,Conservative,0.6293210105105106
