Time,strategy,percent,reputation,rep_idx,profit,pr_idx
27.0,Aggressive,0.75,4.391150058514501,27,-1.689343464175066,27
39.0,Aggressive,0.5,4.024056639160068,39,-2.2293177084850395,39
43.0,Balanced,0.75,5.620229402028617,43,-1.859357279894076,43
43.0,Progressive,0.75,5.6264734063244815,43,-1.860930410208344,43
52.0,Opportunistic,0.75,5.063539745515579,52,-2.208528148012073,52
54.0,Aggressive,0.25,3.8815731598107215,54,-2.6715152231588197,54
64.0,Balanced,0.5,5.402382903009869,64,-2.7086540110050823,64
66.0,Progressive,0.5,5.484569451453027,66,-2.751790745728345,66
80.0,Opportunistic,0.5,4.789791171882008,80,-3.279774935304415,80
91.0,Balanced,0.25,5.275666811713652,91,-3.535230338053469,91
95.0,Progressive,0.25,5.427470567081929,95,-3.615703372159652,95
112.0,Opportunistic,0.25,4.8581624852839935,112,-4.253054484089559,112
190.0,Conservative,0.75,8.703027988242354,190,-6.828261004260591,190
252.0,Conservative,0.5,8.774864029470102,252,-10.499147531375865,252
297.0,Conservative,0.25,8.78418902392495,297,-13.179951109390366,297
