Time,strategy,avg_reputation,rep_count,avg_profit,prof_count
0.0022912598785902335,Opportunistic,6.985,200,-0.005,200
0.007070986624547006,Aggressive,6.985,200,-0.005,200
0.026013154962775984,Aggressive,6.97,200,-0.010097609308449914,200
0.03464111698384896,Opportunistic,6.99,200,-0.005394789035520606,200
0.06223020166109211,Opportunistic,6.995,200,-0.004903119972392211,200
0.06343446479183831,Aggressive,6.955,200,-0.015222856746339004,200
0.06849553666655,Conservative,7.005,200,0.0,200
0.07710403872061558,Conservative,7.01,200,0.00027715530089883256,200
0.07850319795282953,Conservative,7.015,200,0.0005441833622822223,200
0.08913144816039169,Opportunistic,7.0,200,-0.004353377381245527,200
0.09884517463678445,Cyclic,6.985,200,-0.005,200
