Time,strategy,fog_count,avg_reputation,avg_profit
0.0038625493419307557,Balanced,1000,7.001,6.653761716425955e-05
0.004672376344116208,Cyclic,1000,6.997,-0.001011490363662011
0.02990897997947177,Balanced,1000,6.998,-0.0009787627115495977
0.03466944664551116,Cyclic,1000,6.994,-0.002055263673644279
0.0430958279471089,Aggressive,1000,6.997,-0.0010144344088854603
0.05281802111868929,Opportunistic,1000,6.997,-0.0010288929409762232
0.0587502173746809,Opportunistic,1000,6.998,-0.0009390252224982039
0.07419712798152561,Balanced,1000,6.995,-0.002009909056602115
0.07536372699170059,Balanced,1000,6.996,-0.001927855320264765
0.07773175071389268,Cyclic,1000,6.991,-0.0030590202981536424
0.07862950040518886,Balanced,1000,6.993,-0.0029617019637879134
0.10808059150818908,Aggressive,1000,6.994,-0.00201837277214126
0.11418125822557387,Opportunistic,1000,6.995,-0.001967206707156142
0.12788740041675375,Aggressive,1000,6.991,-0.0030346371191920245
0.12828946382875556,Aggressive,1000,6.988,-0.004057924896590344
0.13173600679113498,Balanced,1000,6.99,-0.004007832938062057
0.13958932271908628,Conservative,1000,6.997,-0.001077119363601147
0.13981621324229632,Cyclic,1000,6.988,-0.004068752023225917
0.14646008200941163,Conservative,1000,6.998,-0.0010311486695756748
0.15471849761251527,Conservative,1000,6.999,-0.000994740073640113
0.15507336728254573,Balanced,1000,6.991,-0.003909227391846638
0.16410286570473778,Cyclic,1000,6.985,-0.005086462261697397
0.1650751522282742,Cyclic,1000,6.986,-0.004981337458962616
0.21413505221682483,Balanced,1000,6.992,-0.00382617114747755
0.21417219975430377,Balanced,1000,6.993,-0.0037634833120451052
0.22744187388253728,Conservative,1000,7.0,-0.0009480650266404211
0.2340313979312785,Opportunistic,1000,6.996,-0.0019240870264571725
0.23958777438163786,Cyclic,1000,6.983,-0.005988076871923087
0.2613145604849865,Aggressive,1000,6.985,-0.005105497250604429
0.28844342301440584,Balanced,1000,6.99,-0.004778061918536545
0.31666719473737764,Balanced,1000,6.987,-0.005811632376766817
0.31942491478353835,Aggressive,1000,6.982,-0.00611707091577843
0.3249525925794343,Conservative,1000,7.001,-0.0008931726420502599
0.3350084383848201,Aggressive,1000,6.979,-0.007120516063841707
0.34303918077088447,Conservative,1000,7.002,-0.0008453213269427602
0.34498537102883803,Aggressive,1000,6.98,-0.007029820463765572
0.3606877419608574,Conservative,1000,6.999,-0.0019237357799776742
0.36276568272179044,Conservative,1000,7.0,-0.0018764182130319655
0.37059665304723544,Conservative,1000,7.001,-0.0018329918855322083
0.38494001299252806,Cyclic,1000,6.98,-0.006992115395482898
0.4138356333691573,Cyclic,1000,6.977,-0.008003278417506024
0.4288961907248183,Opportunistic,1000,6.993,-0.0029663190377489526
0.42926226365160935,Opportunistic,1000,6.99,-0.004016407322203056
0.4297759052988452,Opportunistic,1000,6.991,-0.004003845128207167
0.4402496361981247,Conservative,1000,7.002,-0.0017906494444744033
0.4429447749822779,Aggressive,1000,6.977,-0.008059876643174828
0.44457961618072656,Aggressive,1000,6.974,-0.00906316471222369
0.4812682500339268,Cyclic,1000,6.974,-0.00903144083520062
0.48328165541885726,Balanced,1000,6.984,-0.006846653208312005
0.4939213099367952,Opportunistic,1000,6.992,-0.003985400473625931
0.49441974260640276,Aggressive,1000,6.971,-0.010078711437689566
0.5146219569386115,Opportunistic,999,6.994994994994995,-0.001990392443077099
0.5288024641291867,Opportunistic,999,6.991991991991992,-0.00303881908326603
0.5450590230725155,Aggressive,1000,6.968,-0.011089961893267606
0.5995868200794632,Opportunistic,999,6.992992992992993,-0.0029534222849235746
0.6129314407055585,Cyclic,1000,6.975,-0.008915587566019787
0.6153496349868582,Aggressive,1000,6.965,-0.012104251090630016
0.6205647490805511,Cyclic,1000,6.976,-0.008804693730371365
0.6379769705499807,Balanced,1000,6.981,-0.007888975053908684
0.6572154925371898,Aggressive,1000,6.962,-0.01311987666688065
0.6576203428668042,Conservative,1000,6.999,-0.0028498630522541817
0.693962653212623,Cyclic,1000,6.973,-0.009825739634212582
0.6999625216569887,Opportunistic,999,6.98998998998999,-0.003976783562581132
0.7160555610552864,Balanced,1000,6.978,-0.008919012154097291
0.7194849827719094,Aggressive,1000,6.959,-0.014136667419419553
0.7495238069102612,Cyclic,1000,6.97,-0.010832468318832259
0.7536083560318538,Conservative,1000,7.0,-0.0028077754939252256
0.7539576258938928,Opportunistic,999,6.990990990990991,-0.003931774518867181
0.7554274691972348,Opportunistic,999,6.991991991991992,-0.0038638466649534124
0.7571552243722902,Balanced,1000,6.979,-0.008822694244813231
0.7662140763514347,Conservative,1000,7.001,-0.002769582970356579
0.7780871319056235,Opportunistic,999,6.988988988988989,-0.004919106375155777
0.79555785477849,Cyclic,1000,6.967,-0.011853853582174306
0.8014926036128633,Opportunistic,999,6.985985985985986,-0.00600693338946729
0.8396270607157327,Cyclic,1000,6.964,-0.012870975506710526
0.8566084163674272,Conservative,1000,7.002,-0.0027233651973986887
0.8616827412304859,Conservative,1000,7.003,-0.0026781100985047825
0.8653483222693532,Aggressive,1000,6.956,-0.015152895190304314
0.8676346033484135,Balanced,1000,6.976,-0.009854498605989555
0.8705702020131463,Opportunistic,999,6.982982982982983,-0.007034099388161781
0.8897159670058745,Opportunistic,999,6.983983983983984,-0.007020966321580908
0.8925173260589017,Cyclic,1000,6.961,-0.013891923157412368
0.899306344840526,Balanced,1000,6.973,-0.010888754237248215
0.9012994154494479,Aggressive,1000,6.953,-0.01616802564153768
0.9194851291708432,Opportunistic,999,6.984984984984985,-0.007001973666458356
0.9206062568953749,Conservative,1000,7.0,-0.0037627988537266032
0.9246572354312325,Opportunistic,999,6.985985985985986,-0.006959725498143788
0.9390163344626183,Opportunistic,999,6.982982982982983,-0.007997446013696157
0.9753460023516308,Opportunistic,999,6.983983983983984,-0.007920932933753674
0.9800298055005412,Opportunistic,999,6.980980980980981,-0.008947786417610008
0.9907916006363034,Conservative,1000,6.997,-0.004857403913983434
0.9983413965036121,Opportunistic,999,6.981981981981982,-0.008929853468675406
1.0012938241736704,Conservative,1000,6.998,-0.004816032797524925
1.0042675571279212,Opportunistic,999,6.978978978978979,-0.009973298880322508
1.0127888167260135,Opportunistic,998,6.981963927855712,-0.0070561492795982225
1.0328689005593392,Opportunistic,998,6.978957915831663,-0.008107253090336634
1.0473879714020706,Conservative,1000,6.999,-0.0047720226207439796
1.0946206270284744,Opportunistic,998,6.975951903807616,-0.009141119028123836
1.1039629378691846,Opportunistic,997,6.978936810431294,-0.008115384738371074
1.1079156137587378,Opportunistic,997,6.97592778335005,-0.009175701040444902
1.1154397560262075,Cyclic,1000,6.958,-0.014896842373209328
1.1216083140911612,Opportunistic,997,6.976930792377131,-0.009099303746374
1.1247900555535637,Balanced,1000,6.97,-0.01192248450266553
1.1351821604027614,Opportunistic,996,6.979919678714859,-0.00804705871683461
1.1400334807611991,Opportunistic,996,6.9769076305220885,-0.00908608678854969
1.1479458045850321,Balanced,1000,6.967,-0.012974387373733472
1.1577643504949602,Balanced,1000,6.964,-0.01404151232246037
1.159072933276261,Opportunistic,996,6.973895582329317,-0.010130645313366375
1.1621675563554783,Conservative,1000,6.996,-0.005846979867767394
1.1702765386309444,Opportunistic,996,6.970883534136546,-0.01115862805723113
1.174128609313745,Balanced,1000,6.961,-0.015106376784162162
1.1802877287991949,Conservative,1000,6.993,-0.006941719266932883
1.1895471729214393,Conservative,1000,6.994,-0.006904720892929629
1.2152631575205615,Balanced,1000,6.958,-0.01615696682994424
1.227585760767312,Balanced,1000,6.959,-0.016107225019160662
