Time,strategy,avg_collateral
1.65,Conservative,4.99459987987988
1.65,Balanced,4.983158278278278
1.7,Balanced,4.982618258258259
1.7,Opportunistic,4.981318417816615
1.7,Progressive,4.973594774774774
1.7,Conservative,4.99447987987988
1.7,Aggressive,4.975173952910827
1.75,Aggressive,4.974471870788625
1.75,Balanced,4.982018198198198
1.75,Conservative,4.99431987987988
1.75,Progressive,4.972814574574574
1.75,Opportunistic,4.9805779973560735
1.8,Progressive,4.971914414414414
1.8,Opportunistic,4.980297957316033
1.8,Conservative,4.99407987987988
1.8,Balanced,4.981598178178178
1.8,Aggressive,4.973710469347102
1.85,Balanced,4.9810781381381375
1.85,Progressive,4.970714194194194
1.85,Opportunistic,4.979517837195913
1.85,Conservative,4.99387987987988
1.85,Aggressive,4.972930169006682
1.9,Aggressive,4.972069888726401
1.9,Conservative,4.9936597997998
1.9,Opportunistic,4.978877837195913
1.9,Balanced,4.980538058058058
1.9,Progressive,4.9701127927927935
1.95,Opportunistic,4.978357356715433
1.95,Conservative,4.99347977977978
1.95,Aggressive,4.971489548305822
1.95,Progressive,4.969452552552553
1.95,Balanced,4.980177977977978
2.0,Conservative,4.99335977977978
2.0,Aggressive,4.97074926798542
2.0,Progressive,4.969031290127803
2.0,Balanced,4.979697977977978
2.0,Opportunistic,4.9777172365551925
2.05,Conservative,4.9932597797797795
2.05,Aggressive,4.9697687874247
2.05,Progressive,4.968529868706383
2.05,Balanced,4.979277917917917
2.05,Opportunistic,4.977097176455013
2.1,Conservative,4.99299977977978
2.1,Progressive,4.967709026661932
2.1,Balanced,4.978957877877877
2.1,Opportunistic,4.976596654931485
2.1,Aggressive,4.968808366883918
2.15,Opportunistic,4.9760155731282385
2.15,Balanced,4.978517837837837
2.15,Conservative,4.99283975975976
2.15,Progressive,4.967148826421612
2.15,Aggressive,4.968087165602476
2.2,Aggressive,4.967426343578046
2.2,Balanced,4.978037277277277
2.2,Conservative,4.9926797397397396
2.2,Progressive,4.9663678036754195
2.2,Opportunistic,4.975335412847717
2.25,Opportunistic,4.974854772086716
2.25,Conservative,4.99255973973974
2.25,Progressive,4.9655675433349185
2.25,Balanced,4.977537197197197
2.25,Aggressive,4.966646063257646
2.3,Aggressive,4.965965222416806
2.3,Balanced,4.977137137137137
2.3,Conservative,4.992399719719719
2.3,Progressive,4.964825781492916
2.3,Opportunistic,4.974294712026656
2.35,Conservative,4.992239719719721
2.35,Aggressive,4.965164061215525
2.35,Balanced,4.976477117117117
2.35,Progressive,4.964304098246544
2.35,Opportunistic,4.973754071265654
2.4,Aggressive,4.964502997542781
2.4,Opportunistic,4.973173330404553
2.4,Conservative,4.99209971971972
2.4,Progressive,4.963463697685662
2.4,Balanced,4.976076516516517
2.45,Progressive,4.962981314099672
2.45,Opportunistic,4.972692146171454
2.45,Balanced,4.975496056056056
2.45,Conservative,4.9918796996997
2.45,Aggressive,4.963602637182421
2.5,Progressive,4.9619402316545
2.5,Aggressive,4.9627007736755075
2.5,Balanced,4.975075955955956
2.5,Opportunistic,4.972071945770532
2.5,Conservative,4.9917196796796794
2.55,Progressive,4.961199931193719
2.55,Opportunistic,4.971350964548709
2.55,Balanced,4.974635295295295
2.55,Aggressive,4.9617602127937435
2.55,Conservative,4.991579679679679
2.6,Conservative,4.9914996596596595
2.6,Progressive,4.960478465795159
2.6,Opportunistic,4.970830724107746
2.6,Balanced,4.974095135135134
2.6,Aggressive,4.961139011552421
2.65,Aggressive,4.960498731272142
2.65,Progressive,4.959796723933056
2.65,Opportunistic,4.970190523746943
2.65,Balanced,4.973535075075074
2.65,Conservative,4.99137965965966
2.7,Conservative,4.99127965965966
2.7,Opportunistic,4.969610343366042
2.7,Aggressive,4.960096829330119
2.7,Progressive,4.959033560609412
2.7,Balanced,4.972974914914915
2.75,Conservative,4.99105963963964
2.75,Opportunistic,4.968930243265942
2.75,Balanced,4.972634313231067
2.75,Aggressive,4.959512339669998
2.75,Progressive,4.958232399207407
2.8,Opportunistic,4.968369402103897
2.8,Conservative,4.99099963963964
