Time,strategy,avg_pr
3.65,Opportunistic,0.3338108061908166
3.7,Aggressive,0.086072026658407
3.7,Conservative,0.7705247595147352
3.7,Balanced,0.4347319645330889
3.7,Cyclic,0.5434738572234878
3.7,Opportunistic,0.33307451401542104
3.75,Opportunistic,0.3320505737790044
3.75,Aggressive,0.0862506272248301
3.75,Balanced,0.43482008538029854
3.75,Conservative,0.7694323310266191
3.75,Cyclic,0.542397239200403
3.8,Cyclic,0.5431683748970672
3.8,Conservative,0.7697068209918649
3.8,Aggressive,0.08607565856044559
3.8,Opportunistic,0.3314237703803748
3.8,Balanced,0.4344267463712728
3.85,Balanced,0.43438993259534614
3.85,Opportunistic,0.3333220841868457
3.85,Aggressive,0.08666003040521865
3.85,Conservative,0.7699066571339322
3.85,Cyclic,0.5433708866395071
3.9,Cyclic,0.5440602222151509
3.9,Balanced,0.43359899802023216
3.9,Aggressive,0.08748574696130948
3.9,Opportunistic,0.332461589082222
3.9,Conservative,0.7696570117658045
3.95,Opportunistic,0.3344948825658856
3.95,Conservative,0.7702945351960072
3.95,Cyclic,0.5424756209706592
3.95,Balanced,0.4338733628371583
3.95,Aggressive,0.08711588823963112
4.0,Aggressive,0.08739563362650671
4.0,Conservative,0.7706426748241293
4.0,Cyclic,0.5411062274964517
4.0,Balanced,0.43412523324059343
4.0,Opportunistic,0.33516588198864333
4.05,Cyclic,0.5403225253796312
4.05,Balanced,0.43546075738637574
4.05,Conservative,0.7709835080851819
4.05,Aggressive,0.0872369958695773
4.05,Opportunistic,0.33568143673306955
4.1,Opportunistic,0.33673145830245765
4.1,Balanced,0.4350295986052747
4.1,Cyclic,0.5404620117867371
4.1,Conservative,0.770502147839483
4.1,Aggressive,0.0876717777272354
4.15,Balanced,0.43511680650656426
4.15,Aggressive,0.08774559379353994
4.15,Cyclic,0.5413854006471509
4.15,Conservative,0.771588615555723
4.15,Opportunistic,0.33486072715831805
4.2,Conservative,0.7722392515578461
4.2,Cyclic,0.5421654844143662
4.2,Aggressive,0.08842445021612477
4.2,Opportunistic,0.3350486020145142
4.2,Balanced,0.43595307269811995
4.25,Cyclic,0.5411509766514356
4.25,Aggressive,0.08883387273439539
4.25,Opportunistic,0.33404021054822247
4.25,Conservative,0.7720488157534188
4.25,Balanced,0.4358077445450341
4.3,Opportunistic,0.33280747854570825
4.3,Balanced,0.43484948991318156
4.3,Conservative,0.7718459198780202
4.3,Cyclic,0.5422010941141315
4.3,Aggressive,0.08898281066887735
4.35,Conservative,0.77204265387935
4.35,Aggressive,0.08945775448126023
4.35,Opportunistic,0.33196871169818104
4.35,Balanced,0.4349178542231263
4.35,Cyclic,0.5418917836353291
4.4,Aggressive,0.08978946155361889
4.4,Opportunistic,0.3331599670451479
4.4,Conservative,0.7720626063588363
4.4,Balanced,0.43419609188230035
4.4,Cyclic,0.5438019368387017
4.45,Opportunistic,0.3337342913122224
4.45,Balanced,0.43304825558976495
4.45,Cyclic,0.5435058752426928
4.45,Aggressive,0.08975455426016636
4.45,Conservative,0.7720599843949817
4.5,Opportunistic,0.3334113364496357
4.5,Balanced,0.4329011118924251
4.5,Conservative,0.7720746808593658
4.5,Cyclic,0.5436222583060156
4.5,Aggressive,0.09056642465281335
4.55,Conservative,0.7730436373050074
4.55,Balanced,0.4334695664453736
4.55,Cyclic,0.543648576782684
4.55,Aggressive,0.08994011661730726
4.55,Opportunistic,0.33201893690363504
4.6,Conservative,0.7723654255822058
4.6,Balanced,0.43270344770499414
4.6,Cyclic,0.542994677494831
4.6,Aggressive,0.09007042304173528
4.6,Opportunistic,0.3310034417433221
4.65,Balanced,0.4334899467630779
4.65,Cyclic,0.543361322908857
4.65,Aggressive,0.08986503051442987
4.65,Opportunistic,0.3316606802696898
4.65,Conservative,0.7728636529410864
4.7,Opportunistic,0.3329799640169499
4.7,Aggressive,0.09015807448409699
4.7,Balanced,0.43337250925302684
4.7,Conservative,0.7733995080298126
4.7,Cyclic,0.543070956912566
4.75,Balanced,0.4331998601041859
4.75,Conservative,0.7734423756967221
4.75,Opportunistic,0.3340368753132266
4.75,Cyclic,0.5417117901863192
4.75,Aggressive,0.09020161320252969
4.8,Opportunistic,0.3357096033475966
4.8,Conservative,0.774065955367075
4.8,Cyclic,0.5412135691372087
4.8,Aggressive,0.09056992031397211
4.8,Balanced,0.4331823315823434
4.85,Conservative,0.773266941270574
4.85,Cyclic,0.5419155670105902
4.85,Balanced,0.4326295025348733
4.85,Opportunistic,0.33663575221982056
4.85,Aggressive,0.09137534225915157
4.9,Conservative,0.7728157920522668
4.9,Opportunistic,0.3369212915862757
4.9,Balanced,0.43310035049172496
4.9,Cyclic,0.5414770995152485
4.9,Aggressive,0.09098529193387032
4.95,Conservative,0.7729345608719302
4.95,Opportunistic,0.33663461354267354
4.95,Aggressive,0.09052465514051916
4.95,Balanced,0.43130507414018754
4.95,Cyclic,0.5416114852757228
5.0,Cyclic,0.5412175062550623
5.0,Opportunistic,0.33750938073156156
5.0,Conservative,0.7731489412968813
5.0,Balanced,0.4316079153434319
5.0,Aggressive,0.09057403396316197
5.05,Aggressive,0.09138569705871313
5.05,Cyclic,0.5414633260323979
5.05,Opportunistic,0.33941665887612493
5.05,Balanced,0.43148039618199424
5.05,Conservative,0.7725597542790483
5.1,Opportunistic,0.33956037477673057
5.1,Aggressive,0.09080421719643056
5.1,Cyclic,0.5411048827731763
5.1,Conservative,0.7725188327915261
5.1,Balanced,0.431790220484351
5.15,Aggressive,0.09072375773628934
5.15,Cyclic,0.5402735207890178
5.15,Opportunistic,0.3387646161168967
5.15,Conservative,0.7723189446213445
5.15,Balanced,0.43140606330604725
5.2,Conservative,0.772140563511345
5.2,Balanced,0.4329795172627089
5.2,Cyclic,0.5407043704368366
5.2,Opportunistic,0.33908521424364646
5.2,Aggressive,0.09053739259453049
5.25,Balanced,0.43178383215985683
5.25,Cyclic,0.5414066474024637
5.25,Aggressive,0.09020531602383755
5.25,Opportunistic,0.3389630844978131
5.25,Conservative,0.7722551428114197
5.3,Balanced,0.43317559663476296
5.3,Aggressive,0.09036499332071277
5.3,Conservative,0.7715776262484952
5.3,Cyclic,0.5417307324400168
5.3,Opportunistic,0.33917526597173364
5.35,Cyclic,0.5414145762561002
5.35,Opportunistic,0.33894999366187917
5.35,Balanced,0.4328473737270598
5.35,Aggressive,0.09037211186505507
5.35,Conservative,0.7702669323289364
5.4,Cyclic,0.5416360082485915
5.4,Opportunistic,0.33896280236474985
5.4,Aggressive,0.09077177316502842
5.4,Balanced,0.4346087165469391
5.4,Conservative,0.7703585162371241
